unit	lat	lon	occupancy	geometry	lisa_cluster	lisa_p	significant	color
Unidade de Pronto Atendimento Akira Tada	-23.6147783	-46.7782171	42.75595238095237	POINT (-46.7782171 -23.6147783)	4	0.141	False	lightgrey
UPA Paulista - Unidade de Pronto Atendimento	-23.4367422	-46.5486658	48.363095238095234	POINT (-46.5486658 -23.4367422)	4	0.136	False	lightgrey
UPA PEDREIRA - Dr. César Antunes da Rocha	-23.695088	-46.6764286	44.017857142857146	POINT (-46.6764286 -23.695088)	1	0.414	False	lightgrey
UPA Tito Lopes	-23.4990094	-46.4430547	47.32142857142857	POINT (-46.4430547 -23.4990094)	1	0.493	False	lightgrey
UPA VICENTE MISSIANO	-23.5312903	-46.7763978	35.779761904761905	POINT (-46.7763978 -23.5312903)	3	0.007	True	blue
UPA Vila Mariana	-23.5960015	-46.6428603	39.32738095238096	POINT (-46.6428603 -23.5960015)	3	0.083	False	lightgrey
UPA Sacadura Cabral	-23.6564181	-46.5574109	55.25595238095237	POINT (-46.5574109 -23.6564181)	1	0.019	True	red
Unidade de Pronto Atendimento - UPA Zaíra	-23.6548915	-46.4480502	36.648809523809526	POINT (-46.4480502 -23.6548915)	2	0.005	True	lightblue
UPA Rudge Ramos	-23.6553785	-46.5742749	50.25	POINT (-46.5742749 -23.6553785)	1	0.034	True	red
UPA St. John - Lavras	-23.4028191	-46.4474426	45.99404761904761	POINT (-46.4474426 -23.4028191)	1	0.459	False	lightgrey
AMA SOROCABANA -PRONTO ATENDIMENTO	-23.5243499	-46.7006308	28.11904761904762	POINT (-46.7006308 -23.5243499)	3	0.037	True	blue
UPA Vergueiro	-23.5675198	-46.6395946	16.62085921325052	POINT (-46.6395946 -23.5675198)	3	0.296	False	lightgrey
Unidade Avançada Carlos Chagas	-23.4620263	-46.5327116	32.0	POINT (-46.5327116 -23.4620263)	3	0.35	False	lightgrey
UPA Vila Santa Catarina	-23.6567661	-46.6536116	43.32738095238096	POINT (-46.6536116 -23.6567661)	1	0.094	False	lightgrey
AMA 24h Capão Redondo	-23.6738223	-46.7738791	35.20833333333333	POINT (-46.7738791 -23.6738223)	2	0.487	False	lightgrey
UPA - Pauliceia Taboão	-23.6709515	-46.5830699	49.714285714285715	POINT (-46.5830699 -23.6709515)	1	0.04	True	red
UPA Vila Assis	-23.6868344	-46.48356	42.017857142857146	POINT (-46.48356 -23.6868344)	1	0.034	True	red
