Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
13/08/2023	UPA VICENTE MISSIANO	Domingo	NA	NA	NA	26	26	1	4	1	NA	NA	NA	NA	NA	NA	NA	52	52	0	NA	NA	NA	NA	NA	NA
14/08/2023	UPA VICENTE MISSIANO	Segunda-feira	NA	NA	NA	32	1	1	1	8	0	1	NA	3	2	11	14	1	39	38	0	NA	0	0	0	NA
15/08/2023	UPA VICENTE MISSIANO	Terça-feira	NA	NA	4	5	3	1	12	14	0	NA	43	40	32	33	3	66	13	10	0	NA	NA	NA	NA	21
16/08/2023	UPA VICENTE MISSIANO	Quarta-feira	27	0	NA	0	10	8	4	NA	NA	NA	4	2	56	52	1	0	0	0	5	11	12	0	NA	NA
17/08/2023	UPA VICENTE MISSIANO	Quinta-feira	NA	NA	NA	NA	59	62	1	NA	NA	31	4	1	0	25	31	10	9	30	0	74	68	3	0	32
18/08/2023	UPA VICENTE MISSIANO	Sexta-feira	6	0	14	100	100	100	100	70	100	100	100	100	58	55	4	51	49	31	35	63	10	84	4	32
19/08/2023	UPA VICENTE MISSIANO	Sábado	32	38	29	1	74	78	66	100	100	100	100	100	65	89	100	62	57	78	61	59	0	1	72	19
20/08/2023	UPA VICENTE MISSIANO	Domingo	42	1	38	21	38	42	41	4	10	50	50	0	31	31	44	56	68	0	87	100	100	0	0	36
21/08/2023	UPA VICENTE MISSIANO	Segunda-feira	57	49	100	100	73	57	100	88	90	3	16	42	81	17	100	64	2	77	57	59	100	100	79	100
22/08/2023	UPA VICENTE MISSIANO	Terça-feira	83	39	63	80	100	76	100	54	7	71	100	85	62	53	85	5	100	86	63	44	26	10	86	63
23/08/2023	UPA VICENTE MISSIANO	Quarta-feira	100	100	16	88	10	79	100	100	70	77	4	100	62	1	84	73	100	100	0	63	35	58	71	68
24/08/2023	UPA VICENTE MISSIANO	Quinta-feira	55	14	5	21	83	100	100	100	84	70	100	73	32	18	53	61	100	66	60	87	72	32	0	1
25/08/2023	UPA VICENTE MISSIANO	Sexta-feira	45	46	33	0	54	100	90	24	71	6	45	57	88	61	100	100	100	100	55	100	71	0	49	39
26/08/2023	UPA VICENTE MISSIANO	Sábado	34	15	3	54	91	100	100	55	77	46	31	34	100	0	0	17	100	68	26	38	11	28	29	30
27/08/2023	UPA VICENTE MISSIANO	Domingo	47	18	55	98	63	21	7	28	41	52	47	45	100	54	100	72	78	82	42	54	0	0	0	11
28/08/2023	UPA VICENTE MISSIANO	Segunda-feira	10	3	15	37	100	23	88	87	87	39	15	58	22	41	100	93	100	59	29	72	60	100	72	38
29/08/2023	UPA VICENTE MISSIANO	Terça-feira	6	1	25	65	49	78	46	11	74	52	54	92	87	49	99	67	97	63	62	0	3	0	0	0
30/08/2023	UPA VICENTE MISSIANO	Quarta-feira	4	0	33	50	100	65	98	100	59	80	100	71	53	100	1	99	100	100	80	90	69	61	27	52
31/08/2023	UPA VICENTE MISSIANO	Quinta-feira	0	36	100	77	69	47	28	64	3	100	100	62	81	81	100	100	77	0	50	62	100	100	0	16
01/09/2023	UPA VICENTE MISSIANO	Sexta-feira	28	0	6	51	100	100	83	3	86	98	56	69	69	45	83	100	72	52	44	18	15	57	0	8
02/09/2023	UPA VICENTE MISSIANO	Sábado	13	0	100	1	86	46	70	66	41	83	100	100	100	48	100	100	97	91	0	0	21	76	77	32
03/09/2023	UPA VICENTE MISSIANO	Domingo	49	66	14	17	16	49	36	22	16	0	0	39	70	6	55	26	78	100	72	0	9	0	0	68
04/09/2023	UPA VICENTE MISSIANO	Segunda-feira	38	70	55	85	88	65	66	27	77	2	100	39	51	93	100	100	100	12	9	41	0	23	0	0
05/09/2023	UPA VICENTE MISSIANO	Terça-feira	1	34	33	35	100	100	71	67	67	12	41	80	100	11	100	100	100	55	60	0	31	97	96	0
06/09/2023	UPA VICENTE MISSIANO	Quarta-feira	NA	24	13	55	100	87	78	100	84	100	40	100	64	58	97	100	100	41	22	4	54	0	1	100
07/09/2023	UPA VICENTE MISSIANO	Quinta-feira	4	6	41	57	100	80	78	45	13	37	7	1	0	52	34	94	100	0	77	65	18	34	0	10
08/09/2023	UPA VICENTE MISSIANO	Sexta-feira	45	33	28	69	100	86	91	73	70	100	100	77	100	61	21	95	100	53	68	83	34	79	67	47
09/09/2023	UPA VICENTE MISSIANO	Sábado	77	50	6	16	59	58	16	94	86	55	7	68	100	31	96	35	91	100	60	100	11	2	36	0
10/09/2023	UPA VICENTE MISSIANO	Domingo	20	1	29	11	100	100	100	100	76	30	87	76	100	89	91	100	100	40	40	0	0	0	0	1
11/09/2023	UPA VICENTE MISSIANO	Segunda-feira	22	22	51	100	100	68	100	19	0	63	0	100	25	36	5	63	90	100	100	87	0	37	28	45
12/09/2023	UPA VICENTE MISSIANO	Terça-feira	100	49	77	100	100	100	100	64	69	69	60	100	71	43	100	100	91	100	100	53	67	27	26	1
13/09/2023	UPA VICENTE MISSIANO	Quarta-feira	4	0	7	100	100	100	100	79	64	53	77	67	100	1	68	69	98	58	50	23	100	90	100	0
14/09/2023	UPA VICENTE MISSIANO	Quinta-feira	0	6	5	53	100	100	58	85	65	78	8	1	0	59	92	100	96	94	27	37	100	43	0	46
15/09/2023	UPA VICENTE MISSIANO	Sexta-feira	29	7	59	52	100	100	100	82	51	24	100	91	74	53	100	93	70	100	68	24	85	100	88	38
16/09/2023	UPA VICENTE MISSIANO	Sábado	1	0	9	61	16	81	52	100	41	70	29	73	36	41	72	95	86	100	0	0	48	1	2	28
17/09/2023	UPA VICENTE MISSIANO	Domingo	24	1	0	6	42	1	2	29	100	0	0	0	6	74	31	0	0	60	33	0	0	18	0	3
18/09/2023	UPA VICENTE MISSIANO	Segunda-feira	11	12	17	7	4	100	100	33	0	100	0	2	3	49	100	100	100	74	98	1	49	46	41	28
19/09/2023	UPA VICENTE MISSIANO	Terça-feira	1	27	18	58	100	100	47	78	71	72	94	51	85	65	80	5	100	57	63	43	43	0	0	26
20/09/2023	UPA VICENTE MISSIANO	Quarta-feira	4	79	1	12	94	100	100	58	100	90	100	100	100	91	100	45	100	100	100	49	74	72	100	12
21/09/2023	UPA VICENTE MISSIANO	Quinta-feira	0	83	66	61	100	100	100	100	9	5	59	100	89	95	50	79	100	100	89	0	7	24	27	20
22/09/2023	UPA VICENTE MISSIANO	Sexta-feira	6	7	31	75	2	100	55	100	100	100	100	15	100	100	100	100	100	34	100	100	100	0	40	9
23/09/2023	UPA VICENTE MISSIANO	Sábado	8	61	59	41	76	100	100	56	47	54	100	100	46	67	62	100	100	84	83	60	10	43	2	0
24/09/2023	UPA VICENTE MISSIANO	Domingo	42	1	100	85	100	95	44	80	98	44	32	3	10	6	57	66	0	41	54	0	48	61	70	58
25/09/2023	UPA VICENTE MISSIANO	Segunda-feira	16	42	50	72	46	76	76	75	100	26	35	62	71	20	39	23	79	84	100	100	45	100	28	0
26/09/2023	UPA VICENTE MISSIANO	Terça-feira	1	19	43	32	100	100	12	37	63	100	100	100	81	75	41	41	100	61	70	76	45	100	100	64
27/09/2023	UPA VICENTE MISSIANO	Quarta-feira	54	30	61	33	100	100	66	65	3	3	100	68	75	67	69	71	24	57	49	8	10	7	9	37
28/09/2023	UPA VICENTE MISSIANO	Quinta-feira	35	86	84	86	100	100	76	53	67	67	89	87	60	56	35	100	70	63	51	42	15	37	78	81
29/09/2023	UPA VICENTE MISSIANO	Sexta-feira	7	31	100	49	55	38	51	42	39	59	50	75	54	100	79	100	74	100	60	58	59	6	54	43
30/09/2023	UPA VICENTE MISSIANO	Sábado	7	17	43	87	100	100	77	67	55	72	100	100	100	99	100	92	100	78	46	93	25	0	38	14
01/10/2023	UPA VICENTE MISSIANO	Domingo	3	37	22	63	0	71	16	54	37	38	16	33	42	37	99	58	35	50	65	67	34	35	24	31
02/10/2023	UPA VICENTE MISSIANO	Segunda-feira	0	43	32	55	100	48	100	66	78	83	30	64	92	63	32	100	62	54	29	85	26	0	15	11
03/10/2023	UPA VICENTE MISSIANO	Terça-feira	0	26	17	56	77	5	61	70	56	45	66	48	61	65	60	47	73	46	36	16	0	17	15	16
04/10/2023	UPA VICENTE MISSIANO	Quarta-feira	3	25	10	64	92	100	100	100	100	100	97	95	100	100	100	94	100	66	51	40	57	37	0	33
05/10/2023	UPA VICENTE MISSIANO	Quinta-feira	18	51	25	20	92	100	100	82	27	38	93	100	100	85	94	47	82	100	43	60	65	72	35	12
06/10/2023	UPA VICENTE MISSIANO	Sexta-feira	28	26	41	71	100	65	65	85	57	100	97	100	100	88	58	100	100	100	100	100	98	84	0	17
07/10/2023	UPA VICENTE MISSIANO	Sábado	26	48	60	54	72	54	68	90	54	68	37	76	100	68	55	22	78	87	92	85	85	62	77	89
08/10/2023	UPA VICENTE MISSIANO	Domingo	100	100	97	82	49	81	67	29	32	66	12	19	28	93	90	84	79	100	100	61	66	32	72	33
09/10/2023	UPA VICENTE MISSIANO	Segunda-feira	8	38	21	80	78	100	100	100	75	63	100	33	55	100	85	100	100	100	98	29	32	47	49	0
10/10/2023	UPA VICENTE MISSIANO	Terça-feira	38	77	100	93	100	100	65	75	51	51	7	12	93	100	95	72	90	58	48	0	13	0	0	5
11/10/2023	UPA VICENTE MISSIANO	Quarta-feira	27	3	11	29	58	54	63	58	44	60	41	16	63	100	100	79	100	87	40	34	17	11	73	48
12/10/2023	UPA VICENTE MISSIANO	Quinta-feira	20	9	26	46	100	67	72	69	100	47	100	67	100	63	54	70	68	51	40	41	39	0	15	2
13/10/2023	UPA VICENTE MISSIANO	Sexta-feira	39	0	7	26	57	63	54	65	60	69	91	87	69	84	70	51	100	66	100	0	53	51	0	30
14/10/2023	UPA VICENTE MISSIANO	Sábado	0	3	32	37	42	51	38	99	100	52	61	45	89	71	90	100	100	65	66	16	29	32	2	11
15/10/2023	UPA VICENTE MISSIANO	Domingo	12	11	15	31	88	84	28	4	20	47	66	24	85	67	15	48	53	76	33	4	4	13	7	16
16/10/2023	UPA VICENTE MISSIANO	Segunda-feira	32	41	9	31	63	53	31	45	100	92	100	100	100	100	100	100	48	51	65	68	68	100	100	16
17/10/2023	UPA VICENTE MISSIANO	Terça-feira	0	38	34	60	86	63	27	40	12	47	53	53	58	77	30	34	62	37	5	9	0	34	0	1
18/10/2023	UPA VICENTE MISSIANO	Quarta-feira	13	8	9	62	50	100	73	3	15	5	33	46	29	21	61	51	63	13	0	7	6	35	0	0
19/10/2023	UPA VICENTE MISSIANO	Quinta-feira	9	1	28	61	37	48	62	100	57	54	49	28	69	22	29	11	41	70	43	39	0	0	0	9
20/10/2023	UPA VICENTE MISSIANO	Sexta-feira	14	11	19	41	42	14	24	62	51	4	27	52	55	2	76	69	56	44	68	50	0	1	18	28
21/10/2023	UPA VICENTE MISSIANO	Sábado	24	2	7	3	59	10	41	52	37	48	78	66	45	53	79	50	55	36	26	23	0	15	39	0
22/10/2023	UPA VICENTE MISSIANO	Domingo	37	56	68	32	0	30	0	23	24	5	0	3	23	5	46	14	58	62	22	51	0	17	2	5
23/10/2023	UPA VICENTE MISSIANO	Segunda-feira	40	10	30	24	5	51	15	65	79	39	37	8	75	64	64	92	69	3	0	43	24	37	20	0
24/10/2023	UPA VICENTE MISSIANO	Terça-feira	37	13	16	80	97	100	100	82	26	69	57	87	58	36	83	65	58	46	80	0	0	5	20	25
25/10/2023	UPA VICENTE MISSIANO	Quarta-feira	20	29	31	35	65	63	78	67	64	24	67	4	67	31	40	91	48	48	40	55	100	90	43	42
26/10/2023	UPA VICENTE MISSIANO	Quinta-feira	30	52	48	32	78	87	70	100	100	100	100	76	80	49	71	0	86	93	39	0	72	38	7	13
27/10/2023	UPA VICENTE MISSIANO	Sexta-feira	30	35	44	42	70	83	46	72	0	55	68	79	100	47	54	72	52	100	36	16	25	16	17	21
28/10/2023	UPA VICENTE MISSIANO	Sábado	37	8	15	27	27	49	31	26	18	37	20	88	58	31	50	79	3	25	19	29	53	20	27	13
29/10/2023	UPA VICENTE MISSIANO	Domingo	50	45	21	27	31	31	0	19	24	31	42	66	30	54	15	29	51	58	2	5	0	1	5	5
30/10/2023	UPA VICENTE MISSIANO	Segunda-feira	2	10	43	56	77	97	83	0	99	76	85	100	100	74	62	48	60	59	87	83	0	34	0	1
31/10/2023	UPA VICENTE MISSIANO	Terça-feira	1	42	39	40	53	77	17	48	44	27	21	58	4	52	90	29	64	67	26	13	19	0	6	22
01/11/2023	UPA VICENTE MISSIANO	Quarta-feira	9	7	8	41	86	100	100	87	76	80	60	100	79	69	100	100	100	41	33	26	9	3	0	0
02/11/2023	UPA VICENTE MISSIANO	Quinta-feira	7	3	23	25	61	57	27	2	34	37	1	15	2	19	10	33	54	59	8	42	17	0	0	9
03/11/2023	UPA VICENTE MISSIANO	Sexta-feira	4	0	11	44	33	30	9	23	28	77	30	10	3	21	47	43	3	10	6	0	0	0	30	14
04/11/2023	UPA VICENTE MISSIANO	Sábado	40	4	11	17	43	28	31	1	38	18	72	62	50	64	19	3	73	34	43	37	30	41	42	38
05/11/2023	UPA VICENTE MISSIANO	Domingo	4	29	13	68	98	78	70	87	70	73	48	40	50	15	18	37	46	43	65	61	31	12	15	4
06/11/2023	UPA VICENTE MISSIANO	Segunda-feira	0	5	31	30	70	32	16	1	21	37	64	77	72	59	49	53	52	36	61	24	17	8	0	9
07/11/2023	UPA VICENTE MISSIANO	Terça-feira	39	29	59	67	98	83	75	57	100	92	90	92	71	55	66	100	39	70	58	0	35	10	0	0
08/11/2023	UPA VICENTE MISSIANO	Quarta-feira	5	46	64	79	41	32	41	16	35	66	9	21	1	93	56	35	70	61	0	15	17	29	15	21
09/11/2023	UPA VICENTE MISSIANO	Quinta-feira	32	6	17	35	0	46	40	30	36	50	42	18	52	56	50	53	59	49	31	10	19	17	17	11
10/11/2023	UPA VICENTE MISSIANO	Sexta-feira	12	19	52	44	21	39	58	57	41	48	48	53	63	75	76	33	65	47	16	22	0	17	16	0
11/11/2023	UPA VICENTE MISSIANO	Sábado	7	10	3	38	71	96	100	81	80	40	18	34	29	6	50	3	62	38	12	16	47	21	0	16
12/11/2023	UPA VICENTE MISSIANO	Domingo	42	3	7	21	19	0	0	15	12	40	32	6	19	48	16	11	37	21	43	31	43	17	16	25
13/11/2023	UPA VICENTE MISSIANO	Segunda-feira	0	5	6	13	48	53	3	72	8	60	5	24	46	2	41	15	17	50	53	50	0	NA	3	3
14/11/2023	UPA VICENTE MISSIANO	Terça-feira	8	28	16	18	33	19	37	57	28	21	0	63	43	78	68	0	44	17	0	4	8	53	2	0
15/11/2023	UPA VICENTE MISSIANO	Quarta-feira	14	7	22	0	43	6	43	43	25	3	68	80	29	9	66	50	0	0	38	36	3	5	2	1
16/11/2023	UPA VICENTE MISSIANO	Quinta-feira	10	0	17	28	35	50	32	16	53	23	2	0	45	2	11	38	22	20	25	6	11	9	59	10
17/11/2023	UPA VICENTE MISSIANO	Sexta-feira	24	20	26	28	71	76	57	75	70	100	86	92	49	44	58	72	75	48	24	5	0	32	11	6
18/11/2023	UPA VICENTE MISSIANO	Sábado	2	7	28	22	29	45	61	1	1	0	43	25	35	63	1	24	38	64	64	71	29	18	12	8
19/11/2023	UPA VICENTE MISSIANO	Domingo	11	3	12	15	34	50	56	28	6	61	32	40	21	55	58	58	0	60	24	22	0	1	19	7
20/11/2023	UPA VICENTE MISSIANO	Segunda-feira	16	32	5	15	12	29	31	23	0	31	21	39	21	37	36	18	32	40	44	14	0	0	0	1
21/11/2023	UPA VICENTE MISSIANO	Terça-feira	0	8	25	49	57	83	64	59	52	45	85	100	55	3	68	0	100	100	9	27	0	0	0	0
22/11/2023	UPA VICENTE MISSIANO	Quarta-feira	8	50	16	20	20	52	83	53	67	0	100	43	3	6	16	9	32	33	0	NA	45	24	0	0
23/11/2023	UPA VICENTE MISSIANO	Quinta-feira	27	0	24	7	12	2	12	8	5	50	16	42	15	1	6	0	30	0	0	0	0	31	33	0
24/11/2023	UPA VICENTE MISSIANO	Sexta-feira	NA	NA	NA	NA	NA	3	0	0	NA	NA	17	21	1	8	9	6	1	NA	0	0	0	NA	NA	NA
25/11/2023	UPA VICENTE MISSIANO	Sábado	NA	NA	NA	6	9	11	6	0	21	16	0	9	0	20	23	1	0	2	NA	NA	NA	NA	NA	NA
26/11/2023	UPA VICENTE MISSIANO	Domingo	NA	NA	NA	NA	NA	3	4	1	0	4	1	1	0	1	5	12	11	0	NA	NA	NA	NA	NA	NA
27/11/2023	UPA VICENTE MISSIANO	Segunda-feira	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	47	2	20	16	0	8	8	0	NA	NA	NA	NA	NA
28/11/2023	UPA VICENTE MISSIANO	Terça-feira	NA	NA	NA	NA	50	49	7	NA	3	4	0	12	12	12	3	40	40	0	0	0	NA	NA	NA	NA
29/11/2023	UPA VICENTE MISSIANO	Quarta-feira	NA	NA	9	1	1	41	39	1	NA	NA	2	3	16	32	3	1	13	0	0	0	8	9	0	NA
30/11/2023	UPA VICENTE MISSIANO	Quinta-feira	NA	NA	NA	7	3	0	NA	2	3	23	20	0	7	52	56	0	66	3	3	0	NA	NA	0	0
