Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
15/08/2023	UPA St. John - Lavras	Terça-feira	NA	18	20	21	11	11	1	NA	NA	8	14	7	15	15	2	NA	9	14	12	10	0	0	0	0
16/08/2023	UPA St. John - Lavras	Quarta-feira	9	11	5	NA	8	6	2	NA	7	1	3	15	16	2	21	19	0	NA	NA	1	6	0	0	0
17/08/2023	UPA St. John - Lavras	Quinta-feira	3	11	12	10	16	15	10	10	12	24	23	1	NA	NA	NA	23	21	0	58	70	68	66	46	51
18/08/2023	UPA St. John - Lavras	Sexta-feira	20	29	24	37	65	62	66	58	63	70	66	68	69	91	97	100	100	100	84	79	78	79	63	36
19/08/2023	UPA St. John - Lavras	Sábado	12	19	33	46	66	52	60	55	65	48	56	69	82	91	92	98	95	83	67	61	48	43	24	24
20/08/2023	UPA St. John - Lavras	Domingo	18	20	20	11	41	49	56	57	60	57	70	60	60	43	60	81	74	87	86	67	43	50	28	20
21/08/2023	UPA St. John - Lavras	Segunda-feira	21	23	32	56	78	96	81	76	68	68	72	80	89	100	99	100	100	100	100	61	73	50	37	23
22/08/2023	UPA St. John - Lavras	Terça-feira	18	28	36	67	88	80	66	68	58	84	3	76	2	79	3	100	100	100	80	66	56	43	32	29
23/08/2023	UPA St. John - Lavras	Quarta-feira	21	22	36	63	81	64	61	69	79	76	75	69	73	71	83	100	100	95	86	84	86	49	28	18
24/08/2023	UPA St. John - Lavras	Quinta-feira	16	23	31	61	77	71	52	50	62	65	78	83	71	82	65	83	99	100	88	76	64	46	20	18
25/08/2023	UPA St. John - Lavras	Sexta-feira	23	31	39	66	55	70	64	56	75	56	66	69	61	72	91	100	100	99	81	71	75	38	25	31
26/08/2023	UPA St. John - Lavras	Sábado	23	22	25	29	48	56	40	45	60	64	74	76	68	54	47	66	66	69	55	52	68	55	27	29
27/08/2023	UPA St. John - Lavras	Domingo	26	23	21	40	42	45	45	49	68	75	61	53	58	49	47	49	52	51	40	38	30	38	13	15
28/08/2023	UPA St. John - Lavras	Segunda-feira	17	31	43	45	42	53	49	46	58	63	55	69	60	57	70	95	100	83	60	52	45	38	23	34
29/08/2023	UPA St. John - Lavras	Terça-feira	17	28	48	61	86	83	78	61	62	60	78	77	64	78	96	100	100	100	62	65	69	55	36	22
30/08/2023	UPA St. John - Lavras	Quarta-feira	13	30	50	45	77	87	71	61	51	52	65	55	61	77	94	100	100	100	94	80	61	51	33	28
31/08/2023	UPA St. John - Lavras	Quinta-feira	23	28	41	57	72	68	64	57	66	74	89	88	82	89	92	97	100	100	97	87	61	57	42	22
01/09/2023	UPA St. John - Lavras	Sexta-feira	30	23	33	45	65	63	67	41	58	70	63	86	77	95	78	100	100	98	76	69	71	63	36	27
02/09/2023	UPA St. John - Lavras	Sábado	26	32	46	51	72	73	77	76	77	75	92	87	88	79	77	87	99	85	73	54	46	19	23	18
03/09/2023	UPA St. John - Lavras	Domingo	15	16	17	21	42	48	55	62	58	58	62	53	46	72	73	54	75	79	94	55	53	49	31	34
