Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
27/09/2023	UPA St. John - Lavras	Quarta-feira	27	28	52	69	100	100	100	92	86	92	85	70	88	75	72	81	95	84	64	44	52	38	31	36
28/09/2023	UPA St. John - Lavras	Quinta-feira	9	14	31	59	88	71	68	60	62	63	67	62	63	71	67	84	94	82	58	44	36	23	16	10
29/09/2023	UPA St. John - Lavras	Sexta-feira	15	19	27	49	67	69	57	67	71	63	79	77	80	61	54	66	93	95	67	66	65	48	31	27
30/09/2023	UPA St. John - Lavras	Sábado	18	14	22	29	36	46	44	33	51	53	47	56	65	74	74	72	84	82	58	57	53	34	19	21
01/10/2023	UPA St. John - Lavras	Domingo	15	11	10	18	27	32	36	47	44	40	44	47	58	54	48	48	56	71	68	64	41	27	12	23
02/10/2023	UPA St. John - Lavras	Segunda-feira	17	28	30	44	59	65	45	36	35	63	48	63	74	70	74	76	89	73	69	53	36	18	2	7
03/10/2023	UPA St. John - Lavras	Terça-feira	11	16	28	41	55	49	48	43	47	62	56	64	66	61	59	62	68	81	74	48	45	38	32	27
04/10/2023	UPA St. John - Lavras	Quarta-feira	20	25	35	38	41	53	56	50	40	53	59	71	74	76	71	92	98	83	61	59	46	41	18	16
05/10/2023	UPA St. John - Lavras	Quinta-feira	9	21	22	39	61	71	59	59	60	45	62	60	73	67	50	72	63	69	46	31	28	14	16	16
06/10/2023	UPA St. John - Lavras	Sexta-feira	14	13	19	28	47	62	59	72	66	75	62	66	90	75	69	76	93	81	61	47	47	30	23	22
07/10/2023	UPA St. John - Lavras	Sábado	15	15	26	38	58	59	60	50	42	40	42	33	33	35	46	52	52	75	75	79	57	37	19	14
08/10/2023	UPA St. John - Lavras	Domingo	9	13	14	24	42	56	59	42	50	54	55	72	56	53	46	44	42	41	33	29	26	24	17	19
09/10/2023	UPA St. John - Lavras	Segunda-feira	15	23	25	37	38	56	52	46	41	52	69	59	70	4	60	61	70	76	66	60	40	28	16	19
10/10/2023	UPA St. John - Lavras	Terça-feira	24	26	26	32	44	41	40	37	63	45	49	51	50	60	67	65	60	66	60	47	41	15	12	8
11/10/2023	UPA St. John - Lavras	Quarta-feira	16	10	20	25	52	51	50	37	32	32	40	47	43	47	52	55	53	57	52	52	38	27	24	21
12/10/2023	UPA St. John - Lavras	Quinta-feira	19	17	16	36	47	63	49	51	56	51	50	39	36	37	43	32	47	49	37	30	26	18	8	4
13/10/2023	UPA St. John - Lavras	Sexta-feira	8	15	15	23	39	36	27	29	47	33	53	45	54	67	54	65	43	51	45	40	27	18	8	12
14/10/2023	UPA St. John - Lavras	Sábado	7	11	14	21	27	37	27	27	40	50	44	48	43	39	26	30	40	44	27	23	16	10	13	18
15/10/2023	UPA St. John - Lavras	Domingo	21	17	15	19	34	34	26	30	30	27	31	41	38	41	36	32	43	58	42	38	20	35	12	14
16/10/2023	UPA St. John - Lavras	Segunda-feira	2	13	24	39	56	57	57	65	66	66	64	59	62	66	69	71	79	79	53	48	32	29	11	6
17/10/2023	UPA St. John - Lavras	Terça-feira	11	12	25	37	60	58	48	45	49	50	44	44	57	60	48	45	52	51	51	41	38	22	23	14
18/10/2023	UPA St. John - Lavras	Quarta-feira	17	6	26	42	48	52	46	49	60	66	62	59	59	62	55	68	73	62	48	43	26	26	16	4
19/10/2023	UPA St. John - Lavras	Quinta-feira	2	15	18	38	54	55	48	39	41	46	43	61	59	51	47	56	68	61	51	46	35	39	26	25
20/10/2023	UPA St. John - Lavras	Sexta-feira	19	20	27	37	45	47	37	21	42	46	52	55	59	NA	63	62	63	53	45	42	36	28	24	18
21/10/2023	UPA St. John - Lavras	Sábado	10	11	12	30	45	38	32	31	44	44	46	37	41	46	53	50	60	56	46	36	29	27	24	25
22/10/2023	UPA St. John - Lavras	Domingo	13	13	20	27	34	31	39	35	38	37	39	33	45	41	45	51	62	61	53	28	31	20	22	7
23/10/2023	UPA St. John - Lavras	Segunda-feira	18	17	5	36	57	45	40	3	50	46	1	1	62	70	60	70	86	71	64	51	45	31	15	25
24/10/2023	UPA St. John - Lavras	Terça-feira	14	22	26	42	56	65	38	40	61	29	49	58	50	58	60	67	70	87	60	57	38	43	36	29
25/10/2023	UPA St. John - Lavras	Quarta-feira	21	23	24	40	60	68	54	52	57	48	40	52	75	61	56	58	71	63	54	45	44	29	23	22
26/10/2023	UPA St. John - Lavras	Quinta-feira	25	27	26	37	61	67	49	48	0	44	49	53	53	54	59	73	70	72	55	49	39	43	38	37
27/10/2023	UPA St. John - Lavras	Sexta-feira	28	31	12	35	58	62	53	41	37	51	2	63	58	68	61	63	62	68	73	47	52	37	36	23
28/10/2023	UPA St. John - Lavras	Sábado	18	12	13	19	32	43	47	43	51	56	67	55	40	39	51	55	59	53	59	49	48	33	15	12
29/10/2023	UPA St. John - Lavras	Domingo	20	15	8	25	36	34	36	44	39	29	42	42	44	41	39	38	46	46	59	57	40	33	18	18
30/10/2023	UPA St. John - Lavras	Segunda-feira	23	23	20	33	71	76	80	65	75	50	54	54	61	61	64	73	90	78	70	59	43	40	28	19
31/10/2023	UPA St. John - Lavras	Terça-feira	12	13	23	47	69	63	55	33	46	43	57	51	59	70	51	51	85	83	52	45	41	39	20	0
01/11/2023	UPA St. John - Lavras	Quarta-feira	22	24	24	36	50	58	68	74	83	70	67	74	73	58	67	79	98	100	76	63	59	39	12	17
02/11/2023	UPA St. John - Lavras	Quinta-feira	10	20	23	28	47	48	48	51	70	61	54	54	41	34	43	59	66	73	57	52	22	23	10	5
03/11/2023	UPA St. John - Lavras	Sexta-feira	16	16	25	35	52	54	65	57	56	2	51	61	70	68	66	61	74	69	58	42	25	25	21	19
04/11/2023	UPA St. John - Lavras	Sábado	15	18	15	21	41	44	40	55	56	56	48	47	51	48	50	56	74	58	55	40	34	29	22	9
05/11/2023	UPA St. John - Lavras	Domingo	11	12	19	16	24	39	28	40	48	40	53	38	52	45	38	43	60	58	64	46	40	28	18	3
06/11/2023	UPA St. John - Lavras	Segunda-feira	14	15	21	38	54	54	35	41	40	24	59	53	62	62	58	66	66	78	76	55	39	26	14	18
07/11/2023	UPA St. John - Lavras	Terça-feira	8	23	28	42	68	86	75	74	72	73	3	2	63	63	91	79	84	100	79	63	17	28	16	0
08/11/2023	UPA St. John - Lavras	Quarta-feira	13	13	16	33	63	1	0	57	54	58	76	77	74	68	64	52	93	94	75	60	50	27	17	10
