Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
14/08/2023	UPA Vila Santa Catarina	Segunda-feira	1	2	11	28	27	5	31	31	11	8	5	3	0	NA	NA	18	26	25	6	2	0	0	0	0
15/08/2023	UPA Vila Santa Catarina	Terça-feira	1	4	5	15	13	3	16	12	8	5	13	13	21	6	18	18	0	8	2	8	2	0	0	4
16/08/2023	UPA Vila Santa Catarina	Quarta-feira	0	8	11	6	4	2	NA	61	61	3	14	9	8	0	7	8	21	10	12	6	5	0	0	0
17/08/2023	UPA Vila Santa Catarina	Quinta-feira	NA	7	10	13	25	3	5	7	7	21	11	8	0	18	16	29	27	38	55	78	70	57	42	14
18/08/2023	UPA Vila Santa Catarina	Sexta-feira	33	20	23	5	87	97	100	83	84	68	93	92	100	88	100	100	100	100	100	95	74	54	30	23
19/08/2023	UPA Vila Santa Catarina	Sábado	23	27	30	49	66	75	97	73	67	87	96	98	100	98	87	93	99	74	71	73	64	59	50	35
20/08/2023	UPA Vila Santa Catarina	Domingo	40	28	26	27	49	50	61	71	71	96	100	100	100	81	78	90	100	96	82	78	64	51	57	31
21/08/2023	UPA Vila Santa Catarina	Segunda-feira	22	22	36	60	92	100	100	85	86	100	100	100	100	88	100	100	100	100	1	70	55	43	38	28
22/08/2023	UPA Vila Santa Catarina	Terça-feira	15	28	15	49	100	100	100	90	81	100	100	100	0	100	100	100	100	100	100	94	69	41	28	24
23/08/2023	UPA Vila Santa Catarina	Quarta-feira	15	17	29	61	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	94	62	44	24	14
24/08/2023	UPA Vila Santa Catarina	Quinta-feira	9	15	22	50	98	100	100	95	92	89	83	95	84	73	99	100	100	100	78	74	26	25	18	17
25/08/2023	UPA Vila Santa Catarina	Sexta-feira	7	4	19	59	94	100	100	67	61	69	80	99	97	99	100	100	100	100	81	61	49	31	23	14
26/08/2023	UPA Vila Santa Catarina	Sábado	15	20	31	56	79	68	58	51	48	74	84	89	61	57	51	58	78	82	53	56	27	36	18	22
27/08/2023	UPA Vila Santa Catarina	Domingo	18	21	26	34	39	44	52	51	43	56	62	67	53	62	68	84	89	64	63	48	48	23	12	13
28/08/2023	UPA Vila Santa Catarina	Segunda-feira	7	4	17	23	91	90	88	72	81	77	89	91	80	85	100	97	100	100	70	55	43	39	28	18
29/08/2023	UPA Vila Santa Catarina	Terça-feira	14	14	16	43	88	80	80	54	71	77	83	87	88	87	100	100	100	100	66	60	37	30	17	14
30/08/2023	UPA Vila Santa Catarina	Quarta-feira	0	7	15	42	91	99	77	72	70	83	100	97	92	82	85	87	100	100	70	68	48	31	16	12
31/08/2023	UPA Vila Santa Catarina	Quinta-feira	19	18	15	56	100	100	100	97	83	84	100	100	99	86	100	100	100	100	71	65	38	33	20	20
01/09/2023	UPA Vila Santa Catarina	Sexta-feira	6	36	23	62	100	100	100	81	84	59	74	79	87	79	77	100	100	100	100	79	72	49	29	24
02/09/2023	UPA Vila Santa Catarina	Sábado	26	20	34	48	71	84	81	51	47	67	83	84	73	82	77	100	100	100	82	83	63	43	29	20
03/09/2023	UPA Vila Santa Catarina	Domingo	23	38	17	35	42	47	51	49	69	78	81	70	60	61	65	84	100	100	81	71	65	50	39	34
04/09/2023	UPA Vila Santa Catarina	Segunda-feira	10	21	39	75	94	99	83	81	66	100	100	100	100	100	100	100	100	100	97	77	61	40	34	13
05/09/2023	UPA Vila Santa Catarina	Terça-feira	15	13	35	51	96	96	92	72	76	81	92	88	91	95	93	72	100	100	100	68	42	32	29	1
06/09/2023	UPA Vila Santa Catarina	Quarta-feira	15	11	18	45	95	88	79	73	65	71	73	91	91	97	97	100	100	100	61	52	33	29	28	27
07/09/2023	UPA Vila Santa Catarina	Quinta-feira	14	16	21	34	50	44	57	66	75	71	62	72	70	64	66	77	68	70	67	63	54	35	14	5
08/09/2023	UPA Vila Santa Catarina	Sexta-feira	9	15	21	46	81	83	70	65	61	71	82	76	91	83	80	100	88	100	66	69	38	34	26	12
09/09/2023	UPA Vila Santa Catarina	Sábado	12	20	26	33	61	62	51	52	49	59	60	47	64	63	63	73	99	68	55	50	23	18	26	10
10/09/2023	UPA Vila Santa Catarina	Domingo	24	16	24	14	54	62	50	54	47	38	84	69	63	46	67	77	50	58	63	45	40	35	39	16
11/09/2023	UPA Vila Santa Catarina	Segunda-feira	14	13	31	50	82	100	85	84	67	77	83	100	100	100	100	87	100	100	96	84	46	32	23	10
12/09/2023	UPA Vila Santa Catarina	Terça-feira	19	27	29	49	92	100	100	100	100	92	94	100	100	100	100	100	100	100	100	77	56	42	38	33
13/09/2023	UPA Vila Santa Catarina	Quarta-feira	28	10	20	44	100	100	99	100	100	81	85	84	98	92	100	100	100	100	95	49	27	17	14	24
14/09/2023	UPA Vila Santa Catarina	Quinta-feira	19	15	30	51	96	100	97	82	86	94	99	84	87	81	75	90	100	100	85	65	52	54	30	22
15/09/2023	UPA Vila Santa Catarina	Sexta-feira	21	14	29	40	86	86	98	96	100	100	97	100	84	96	100	100	100	100	100	88	62	30	17	18
