Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
09/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quarta-feira	1	10	8	22	72	60	53	37	48	71	66	70	72	64	92	93	76	56	40	26	15	22	11	12
10/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quinta-feira	9	16	12	21	55	54	37	42	57	50	55	44	40	69	66	66	68	50	30	18	17	12	0	11
11/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sexta-feira	13	17	18	44	66	61	60	60	64	65	72	98	91	77	100	100	100	75	48	29	17	20	14	10
12/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sábado	8	1	10	12	23	51	91	79	100	100	90	68	85	69	68	0	15	4	11	10	0	0	1	0
13/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Domingo	0	1	9	7	9	14	8	7	12	11	20	11	12	12	16	23	14	14	9	9	0	0	0	NA
14/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Segunda-feira	NA	2	6	7	10	7	3	14	15	7	22	22	12	9	12	10	2	3	0	0	0	0	0	2
15/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Terça-feira	5	8	9	6	8	11	21	1	1	1	NA	16	17	8	12	21	14	12	0	4	2	0	0	1
16/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quarta-feira	1	9	9	27	17	15	3	NA	11	12	28	29	17	8	9	0	NA	NA	NA	NA	NA	NA	1	3
17/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quinta-feira	0	11	13	30	17	9	8	1	NA	6	6	0	25	17	2	14	12	19	30	38	27	14	19	21
18/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sexta-feira	19	21	12	14	57	55	64	54	56	50	85	62	87	84	100	100	90	64	41	39	12	21	15	12
19/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sábado	16	8	18	17	31	57	51	88	81	69	99	100	74	81	88	76	75	76	52	46	22	20	10	9
20/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Domingo	14	21	10	15	20	41	49	56	71	69	78	48	57	69	71	83	72	53	39	21	26	29	26	7
21/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Segunda-feira	12	14	21	36	75	68	53	59	67	81	89	78	99	84	100	100	100	78	0	28	26	16	14	0
22/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Terça-feira	12	14	21	51	61	66	51	44	73	83	78	78	0	82	100	100	100	86	68	55	24	18	12	14
23/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quarta-feira	13	2	15	55	76	87	86	62	73	48	69	40	58	60	85	100	100	70	47	34	24	28	29	11
24/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quinta-feira	15	11	25	40	71	69	73	66	77	94	89	85	100	82	92	100	96	61	29	42	33	13	27	4
25/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sexta-feira	13	14	21	41	64	64	59	45	40	77	64	57	70	69	91	100	100	66	41	29	4	14	14	4
26/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sábado	1	17	14	48	45	52	51	68	63	91	82	87	76	89	80	95	71	36	22	18	19	18	6	5
27/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Domingo	10	1	12	21	27	37	36	35	36	43	38	56	37	46	45	75	57	34	48	34	6	9	3	5
28/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Segunda-feira	7	14	16	31	93	51	49	46	64	69	73	51	55	66	84	100	100	55	44	36	19	17	3	6
29/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Terça-feira	8	13	28	24	40	57	54	45	44	68	66	63	67	61	100	92	100	72	56	38	10	9	8	15
30/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quarta-feira	17	8	4	34	38	59	47	58	54	62	57	72	62	72	100	90	88	80	68	44	25	2	7	5
31/08/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quinta-feira	3	19	26	38	97	75	78	57	55	77	64	72	72	77	99	100	91	63	53	45	34	24	29	20
01/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sexta-feira	21	6	12	26	67	76	67	51	56	47	46	69	78	61	84	100	91	73	40	33	34	31	26	10
02/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sábado	21	1	14	25	40	52	100	100	75	74	100	82	71	76	75	96	90	59	40	36	19	14	6	8
03/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Domingo	4	14	12	26	35	39	55	54	43	54	48	44	36	44	58	100	95	54	46	35	39	25	26	2
04/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Segunda-feira	6	14	25	45	66	83	67	57	68	76	93	0	64	68	100	100	78	57	55	33	37	27	15	11
05/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Terça-feira	8	15	20	47	78	90	72	82	76	65	100	65	83	67	84	97	100	62	44	21	32	33	15	16
06/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quarta-feira	14	10	22	45	62	81	70	58	73	74	60	66	100	92	100	100	89	60	54	45	26	23	27	17
07/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Quinta-feira	11	11	16	35	27	26	36	48	56	52	48	48	66	54	58	60	74	55	37	29	30	21	24	15
08/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sexta-feira	20	14	10	25	42	45	67	74	69	84	72	70	69	82	82	82	90	77	40	34	32	22	20	0
09/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Sábado	8	7	10	34	55	64	82	82	70	100	100	100	93	89	79	89	100	73	57	35	26	20	20	23
10/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Domingo	7	12	21	23	35	35	45	44	58	70	57	89	70	NA	57	94	90	54	46	26	26	21	23	19
11/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Segunda-feira	13	15	23	47	79	91	71	70	81	83	83	87	84	73	73	70	92	68	69	56	38	26	28	7
12/09/2023	Unidade de Pronto Atendimento - UPA Zaíra	Terça-feira	15	23	19	39	76	91	69	77	59	69	91	76	77	63	100	100	100	100	62	44	39	32	31	20
