Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
16/08/2023	UPA Vila Mariana	Quarta-feira	0	3	8	17	17	7	NA	9	11	12	12	10	0	22	12	14	0	7	0	3	0	0	0	NA
17/08/2023	UPA Vila Mariana	Quinta-feira	NA	NA	8	6	15	15	25	9	8	8	25	21	19	11	12	0	NA	23	48	36	29	25	20	12
18/08/2023	UPA Vila Mariana	Sexta-feira	10	12	15	52	78	100	97	94	95	100	100	100	100	78	79	82	80	78	57	45	38	22	24	22
19/08/2023	UPA Vila Mariana	Sábado	17	14	12	31	51	72	56	48	54	70	76	75	70	59	69	67	67	58	47	32	17	28	27	34
20/08/2023	UPA Vila Mariana	Domingo	12	10	9	23	42	46	48	43	48	69	71	79	58	64	60	77	79	65	55	56	40	25	11	17
21/08/2023	UPA Vila Mariana	Segunda-feira	10	12	12	28	78	100	100	100	100	100	100	100	100	98	77	85	90	92	65	49	31	24	11	8
22/08/2023	UPA Vila Mariana	Terça-feira	7	10	13	39	71	90	100	100	100	100	100	100	100	96	100	87	84	61	64	45	32	31	20	23
23/08/2023	UPA Vila Mariana	Quarta-feira	18	15	12	45	87	100	100	100	100	100	100	100	100	100	100	100	100	99	85	60	40	25	23	8
24/08/2023	UPA Vila Mariana	Quinta-feira	3	8	19	34	80	68	97	98	100	100	100	100	100	100	94	86	95	81	56	48	42	33	25	20
25/08/2023	UPA Vila Mariana	Sexta-feira	14	19	20	26	82	97	86	95	100	100	100	100	89	72	74	68	84	61	52	26	26	25	26	28
26/08/2023	UPA Vila Mariana	Sábado	19	10	11	20	44	61	62	68	51	52	45	55	59	55	54	71	68	46	26	24	18	15	14	22
27/08/2023	UPA Vila Mariana	Domingo	13	10	7	19	33	36	46	48	42	47	53	47	48	45	43	41	49	51	41	39	25	25	29	19
28/08/2023	UPA Vila Mariana	Segunda-feira	12	9	11	32	54	86	81	79	79	100	100	91	97	93	84	69	69	64	54	43	26	31	24	19
29/08/2023	UPA Vila Mariana	Terça-feira	12	10	13	40	65	83	86	91	90	93	100	100	100	94	76	72	77	73	45	31	30	18	12	9
30/08/2023	UPA Vila Mariana	Quarta-feira	5	9	19	37	79	98	100	92	93	97	100	100	100	96	100	86	100	82	63	42	32	15	7	17
31/08/2023	UPA Vila Mariana	Quinta-feira	11	13	11	25	73	100	90	84	98	100	100	100	100	96	100	82	96	88	56	35	30	27	28	10
01/09/2023	UPA Vila Mariana	Sexta-feira	6	12	14	25	78	92	97	100	97	100	100	100	100	98	81	98	96	81	67	51	31	34	36	19
02/09/2023	UPA Vila Mariana	Sábado	9	10	13	17	50	44	77	79	64	62	76	89	76	73	55	57	64	73	60	33	19	18	12	11
03/09/2023	UPA Vila Mariana	Domingo	15	21	16	25	35	39	49	32	26	29	37	42	41	36	35	58	64	72	58	43	17	8	15	12
04/09/2023	UPA Vila Mariana	Segunda-feira	18	17	20	28	68	93	100	84	92	100	100	100	100	89	52	74	66	74	48	37	20	23	8	10
05/09/2023	UPA Vila Mariana	Terça-feira	1	20	10	35	71	89	100	98	86	86	100	97	100	95	67	72	62	44	33	28	29	20	12	16
06/09/2023	UPA Vila Mariana	Quarta-feira	6	18	8	46	64	87	84	78	74	87	97	100	100	81	78	82	70	61	56	34	23	14	15	21
07/09/2023	UPA Vila Mariana	Quinta-feira	26	13	13	21	41	50	47	47	57	57	46	50	53	61	55	53	72	45	36	23	19	19	11	8
08/09/2023	UPA Vila Mariana	Sexta-feira	9	8	5	32	51	59	67	NA	62	58	73	68	72	73	61	60	53	58	48	30	14	13	18	13
09/09/2023	UPA Vila Mariana	Sábado	13	10	8	31	49	52	49	39	51	56	43	40	40	47	35	45	61	46	28	30	14	18	16	17
10/09/2023	UPA Vila Mariana	Domingo	10	11	17	19	25	26	23	39	44	43	43	43	44	47	39	46	46	44	35	35	15	32	28	18
11/09/2023	UPA Vila Mariana	Segunda-feira	14	15	19	39	76	82	100	100	93	100	99	100	92	98	98	83	100	90	67	44	39	34	28	15
12/09/2023	UPA Vila Mariana	Terça-feira	12	18	31	51	94	100	100	100	100	100	100	100	100	79	78	100	100	92	78	54	44	21	14	8
