Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
16/08/2023	UPA Vila Assis	Quarta-feira	7	2	9	9	4	16	9	12	12	17	17	1	1	5	7	7	0	10	9	0	1	3	8	10
17/08/2023	UPA Vila Assis	Quinta-feira	1	6	7	3	5	4	19	18	16	1	19	19	0	21	9	2	2	16	48	58	45	23	22	10
18/08/2023	UPA Vila Assis	Sexta-feira	2	10	11	29	51	69	58	75	83	71	63	70	49	60	69	100	80	70	52	50	54	49	27	16
19/08/2023	UPA Vila Assis	Sábado	17	20	27	44	63	62	51	59	48	77	80	89	71	61	45	45	66	52	33	28	23	29	14	18
20/08/2023	UPA Vila Assis	Domingo	15	15	27	37	50	65	73	100	100	100	85	50	38	32	38	53	57	54	35	17	24	19	15	20
21/08/2023	UPA Vila Assis	Segunda-feira	16	17	14	31	40	66	76	68	73	88	90	75	82	62	75	100	91	87	86	50	42	27	16	14
22/08/2023	UPA Vila Assis	Terça-feira	9	15	33	42	64	71	67	84	64	68	68	62	58	63	62	75	73	69	60	66	56	26	20	8
23/08/2023	UPA Vila Assis	Quarta-feira	10	11	24	26	56	85	77	81	54	70	60	57	72	74	77	95	82	75	45	41	29	28	16	15
24/08/2023	UPA Vila Assis	Quinta-feira	10	10	12	39	76	100	74	68	68	78	73	67	0	72	84	84	82	67	62	67	38	28	10	12
25/08/2023	UPA Vila Assis	Sexta-feira	4	6	8	3	61	72	77	77	67	77	77	74	49	52	62	81	85	64	55	44	25	14	12	10
26/08/2023	UPA Vila Assis	Sábado	6	9	21	31	39	56	46	54	55	68	72	64	57	57	47	52	42	41	43	0	25	21	13	15
27/08/2023	UPA Vila Assis	Domingo	14	17	21	24	36	52	63	71	87	91	72	48	31	37	44	26	36	42	39	27	10	9	10	4
28/08/2023	UPA Vila Assis	Segunda-feira	9	6	15	39	42	74	70	83	55	73	78	73	77	70	95	100	100	80	48	28	23	19	13	13
29/08/2023	UPA Vila Assis	Terça-feira	0	11	14	33	55	80	67	64	60	68	64	69	84	60	72	87	71	54	58	35	26	19	15	3
30/08/2023	UPA Vila Assis	Quarta-feira	6	11	24	34	57	70	72	81	74	75	65	59	57	69	68	89	77	56	41	33	40	13	13	5
31/08/2023	UPA Vila Assis	Quinta-feira	14	11	22	37	42	68	62	68	76	78	78	72	66	69	76	92	98	62	64	51	22	16	7	8
01/09/2023	UPA Vila Assis	Sexta-feira	11	13	18	30	66	74	88	81	68	78	78	74	67	52	87	98	93	65	62	44	45	30	19	12
02/09/2023	UPA Vila Assis	Sábado	14	11	13	33	26	43	49	81	79	76	78	74	65	66	67	62	71	63	48	32	29	3	12	12
03/09/2023	UPA Vila Assis	Domingo	0	9	15	28	45	49	76	100	100	100	100	53	44	40	47	45	57	38	39	36	30	20	18	12
04/09/2023	UPA Vila Assis	Segunda-feira	11	10	13	30	52	54	80	92	70	74	84	0	89	74	86	90	95	82	80	54	35	21	30	12
05/09/2023	UPA Vila Assis	Terça-feira	13	14	19	31	50	75	75	79	66	54	73	62	51	47	82	100	100	92	58	35	34	35	14	13
06/09/2023	UPA Vila Assis	Quarta-feira	4	8	7	34	50	81	81	78	68	69	82	54	55	61	75	70	72	67	43	51	38	26	27	5
07/09/2023	UPA Vila Assis	Quinta-feira	6	10	17	37	33	42	52	52	51	50	62	38	45	50	47	55	48	46	42	31	31	18	19	4
08/09/2023	UPA Vila Assis	Sexta-feira	7	7	6	27	47	46	63	66	57	59	77	79	50	65	75	86	54	57	47	45	39	34	33	37
09/09/2023	UPA Vila Assis	Sábado	24	29	19	27	39	57	52	49	72	70	73	64	47	45	56	51	55	51	48	34	16	21	18	11
10/09/2023	UPA Vila Assis	Domingo	18	17	22	35	52	65	78	97	100	100	100	58	56	40	39	38	0	0	44	31	33	24	12	13
11/09/2023	UPA Vila Assis	Segunda-feira	7	14	17	31	59	71	71	64	64	77	62	70	68	76	1	1	100	86	64	55	50	42	21	17
12/09/2023	UPA Vila Assis	Terça-feira	12	14	13	36	68	93	100	74	70	58	71	69	55	70	82	74	49	58	42	58	26	25	17	14
13/09/2023	UPA Vila Assis	Quarta-feira	6	10	13	27	55	78	67	64	60	72	93	76	64	60	79	89	94	83	49	42	29	35	18	18
14/09/2023	UPA Vila Assis	Quinta-feira	14	9	17	38	58	83	76	72	76	57	60	55	57	69	47	81	59	59	51	45	15	13	13	10
15/09/2023	UPA Vila Assis	Sexta-feira	6	2	15	32	50	74	66	65	60	78	85	79	88	79	81	84	100	94	84	71	41	32	28	8
16/09/2023	UPA Vila Assis	Sábado	6	11	16	30	48	35	61	89	76	81	71	76	74	67	58	60	51	53	3	39	11	6	0	3
17/09/2023	UPA Vila Assis	Domingo	2	23	16	40	12	22	37	93	100	3	87	26	2	38	24	19	13	41	24	8	0	1	1	0
18/09/2023	UPA Vila Assis	Segunda-feira	11	1	17	24	6	10	22	4	8	16	7	15	42	68	71	68	61	52	80	51	47	31	24	24
19/09/2023	UPA Vila Assis	Terça-feira	27	14	18	34	63	86	68	69	90	100	98	93	92	77	100	100	100	74	49	45	18	15	26	14
20/09/2023	UPA Vila Assis	Quarta-feira	12	14	14	32	59	88	1	78	73	62	62	69	63	71	90	75	100	89	80	66	39	25	26	23
21/09/2023	UPA Vila Assis	Quinta-feira	8	14	12	48	70	83	94	78	65	58	71	80	77	75	83	67	61	69	65	51	34	15	19	10
22/09/2023	UPA Vila Assis	Sexta-feira	6	10	16	32	8	89	52	88	74	72	43	100	63	49	69	69	71	76	68	45	36	23	17	22
23/09/2023	UPA Vila Assis	Sábado	4	7	16	36	49	43	53	63	53	62	68	59	52	54	47	56	61	68	52	53	44	20	26	14
24/09/2023	UPA Vila Assis	Domingo	18	14	25	38	44	61	83	100	100	100	79	58	53	48	33	58	69	64	49	27	24	18	15	12
25/09/2023	UPA Vila Assis	Segunda-feira	13	12	33	44	56	62	49	45	64	67	70	63	79	59	88	88	91	77	55	45	34	24	13	5
