Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
11/08/2023	Unidade de Pronto Atendimento Akira Tada	Sexta-feira	22	9	32	38	64	87	75	70	65	58	63	59	64	60	54	71	88	72	56	29	26	15	12	6
12/08/2023	Unidade de Pronto Atendimento Akira Tada	Sábado	22	12	14	18	43	46	59	68	53	56	57	33	38	49	52	12	17	17	0	NA	NA	NA	NA	NA
13/08/2023	Unidade de Pronto Atendimento Akira Tada	Domingo	NA	NA	NA	13	24	4	5	4	16	20	0	7	0	0	0	NA	14	4	2	9	2	0	0	0
14/08/2023	Unidade de Pronto Atendimento Akira Tada	Segunda-feira	NA	NA	NA	NA	13	12	8	7	7	9	4	0	12	14	1	4	12	13	0	NA	NA	0	0	0
15/08/2023	Unidade de Pronto Atendimento Akira Tada	Terça-feira	NA	NA	NA	NA	15	9	5	1	NA	3	0	7	2	10	6	12	7	9	10	0	0	0	0	0
16/08/2023	Unidade de Pronto Atendimento Akira Tada	Quarta-feira	NA	NA	6	8	12	24	10	7	4	4	2	NA	18	9	5	6	5	0	23	20	0	0	5	8
17/08/2023	Unidade de Pronto Atendimento Akira Tada	Quinta-feira	0	NA	6	6	10	9	2	NA	14	14	14	15	11	11	1	5	4	22	68	66	50	23	41	20
18/08/2023	Unidade de Pronto Atendimento Akira Tada	Sexta-feira	32	19	21	43	60	77	79	73	59	63	84	48	71	59	58	49	54	54	56	36	22	20	21	22
19/08/2023	Unidade de Pronto Atendimento Akira Tada	Sábado	17	17	11	11	49	56	54	53	46	49	57	68	55	66	43	59	68	68	70	46	32	24	15	8
20/08/2023	Unidade de Pronto Atendimento Akira Tada	Domingo	8	19	37	27	41	47	53	54	60	53	55	62	69	67	30	25	60	61	48	50	17	25	24	26
21/08/2023	Unidade de Pronto Atendimento Akira Tada	Segunda-feira	26	11	22	34	62	92	100	100	100	100	84	100	100	100	100	100	100	100	100	95	62	67	26	18
22/08/2023	Unidade de Pronto Atendimento Akira Tada	Terça-feira	14	12	19	49	69	87	89	92	67	83	79	100	34	92	57	43	2	96	79	62	33	32	18	17
23/08/2023	Unidade de Pronto Atendimento Akira Tada	Quarta-feira	20	5	17	38	58	81	89	80	97	87	85	72	44	64	46	67	70	100	100	97	43	27	7	11
24/08/2023	Unidade de Pronto Atendimento Akira Tada	Quinta-feira	15	18	17	31	77	98	96	87	69	72	72	74	57	66	71	74	90	69	72	54	44	22	14	14
25/08/2023	Unidade de Pronto Atendimento Akira Tada	Sexta-feira	2	13	16	25	64	93	100	85	66	45	59	62	85	75	61	55	60	29	45	31	17	17	4	22
26/08/2023	Unidade de Pronto Atendimento Akira Tada	Sábado	8	12	16	25	46	59	60	52	61	79	70	67	71	87	100	67	74	48	29	31	29	3	0	10
27/08/2023	Unidade de Pronto Atendimento Akira Tada	Domingo	7	8	21	15	23	32	43	34	33	56	51	30	0	39	52	45	58	53	36	25	31	26	17	20
28/08/2023	Unidade de Pronto Atendimento Akira Tada	Segunda-feira	12	6	24	23	62	72	83	53	52	62	47	47	60	64	58	61	89	94	80	64	35	8	6	7
29/08/2023	Unidade de Pronto Atendimento Akira Tada	Terça-feira	10	3	6	21	59	87	67	74	76	80	73	88	73	73	64	59	100	100	66	51	19	31	23	13
30/08/2023	Unidade de Pronto Atendimento Akira Tada	Quarta-feira	12	6	16	40	79	100	61	72	87	78	56	48	58	55	44	56	70	95	59	69	25	6	2	13
31/08/2023	Unidade de Pronto Atendimento Akira Tada	Quinta-feira	0	18	6	30	79	100	69	56	51	51	37	51	60	25	59	80	81	92	54	46	30	25	20	6
01/09/2023	Unidade de Pronto Atendimento Akira Tada	Sexta-feira	17	10	14	36	78	100	100	99	81	74	57	55	80	83	70	74	76	58	67	44	37	35	26	11
02/09/2023	Unidade de Pronto Atendimento Akira Tada	Sábado	10	14	15	25	46	82	52	47	55	46	40	53	41	47	47	48	57	57	46	39	20	16	18	11
03/09/2023	Unidade de Pronto Atendimento Akira Tada	Domingo	7	2	21	44	39	62	49	38	56	44	36	47	56	34	48	60	68	72	41	28	27	24	24	22
04/09/2023	Unidade de Pronto Atendimento Akira Tada	Segunda-feira	19	9	17	51	91	91	70	75	89	100	100	100	81	77	72	92	92	87	68	55	26	12	2	10
05/09/2023	Unidade de Pronto Atendimento Akira Tada	Terça-feira	13	13	27	39	78	100	100	75	66	53	87	72	79	73	69	67	82	95	57	39	17	27	27	11
06/09/2023	Unidade de Pronto Atendimento Akira Tada	Quarta-feira	14	31	45	40	82	91	84	73	62	57	38	59	73	63	64	75	72	70	55	48	35	22	0	9
07/09/2023	Unidade de Pronto Atendimento Akira Tada	Quinta-feira	11	6	6	30	52	44	44	30	46	47	64	69	60	44	67	70	85	60	61	28	26	15	14	16
08/09/2023	Unidade de Pronto Atendimento Akira Tada	Sexta-feira	10	16	23	39	56	49	64	76	73	54	64	63	92	69	65	78	64	74	57	41	52	33	31	25
09/09/2023	Unidade de Pronto Atendimento Akira Tada	Sábado	8	18	19	23	55	62	53	50	74	69	30	40	46	69	63	41	47	40	27	23	20	13	16	0
10/09/2023	Unidade de Pronto Atendimento Akira Tada	Domingo	3	7	21	21	52	49	50	43	43	62	53	54	41	62	73	66	47	45	79	48	36	25	19	28
11/09/2023	Unidade de Pronto Atendimento Akira Tada	Segunda-feira	21	27	21	37	67	100	97	100	94	73	72	95	98	91	91	2	100	100	88	77	40	43	22	3
12/09/2023	Unidade de Pronto Atendimento Akira Tada	Terça-feira	0	14	15	43	71	79	70	74	64	88	100	84	75	56	82	88	100	100	73	57	29	35	20	15
13/09/2023	Unidade de Pronto Atendimento Akira Tada	Quarta-feira	18	17	22	51	80	99	82	86	75	78	72	72	73	69	74	63	86	94	75	70	66	20	14	17
14/09/2023	Unidade de Pronto Atendimento Akira Tada	Quinta-feira	21	17	15	41	62	80	77	66	85	75	74	79	100	92	97	96	95	83	88	76	47	27	31	22
15/09/2023	Unidade de Pronto Atendimento Akira Tada	Sexta-feira	29	28	21	28	54	78	90	70	72	53	58	63	45	46	59	56	79	69	74	60	46	47	35	19
16/09/2023	Unidade de Pronto Atendimento Akira Tada	Sábado	14	14	9	16	54	63	74	63	82	61	71	71	58	53	39	44	70	8	0	41	6	30	0	19
17/09/2023	Unidade de Pronto Atendimento Akira Tada	Domingo	13	10	7	4	4	4	7	6	7	14	13	1	1	0	15	19	13	16	2	62	14	1	0	4
18/09/2023	Unidade de Pronto Atendimento Akira Tada	Segunda-feira	4	5	12	34	9	17	7	8	4	10	5	12	43	78	92	100	100	100	100	100	100	57	42	26
19/09/2023	Unidade de Pronto Atendimento Akira Tada	Terça-feira	24	29	21	54	100	100	100	100	88	70	82	85	71	77	85	66	92	96	92	100	54	37	28	16
20/09/2023	Unidade de Pronto Atendimento Akira Tada	Quarta-feira	11	4	12	42	90	100	18	100	100	89	82	68	83	62	79	37	100	85	82	72	46	61	36	42
21/09/2023	Unidade de Pronto Atendimento Akira Tada	Quinta-feira	40	25	23	39	72	13	78	81	78	93	86	100	100	100	77	63	76	67	55	57	33	25	18	10
22/09/2023	Unidade de Pronto Atendimento Akira Tada	Sexta-feira	31	21	31	28	27	89	91	100	98	100	93	98	62	74	95	93	99	79	80	49	36	19	3	0
23/09/2023	Unidade de Pronto Atendimento Akira Tada	Sábado	0	2	22	30	55	60	53	67	73	100	76	51	50	41	47	51	52	42	31	44	28	24	37	0
24/09/2023	Unidade de Pronto Atendimento Akira Tada	Domingo	32	1	8	7	27	40	35	58	60	55	78	45	29	29	41	15	55	58	47	36	24	41	42	20
25/09/2023	Unidade de Pronto Atendimento Akira Tada	Segunda-feira	19	14	21	45	84	100	100	100	76	60	78	62	82	76	88	96	100	100	100	91	57	36	31	23
26/09/2023	Unidade de Pronto Atendimento Akira Tada	Terça-feira	0	5	38	52	89	100	100	100	100	88	100	90	90	84	84	100	97	100	97	62	40	24	29	41
27/09/2023	Unidade de Pronto Atendimento Akira Tada	Quarta-feira	21	16	23	51	94	100	100	70	86	100	97	72	56	53	69	74	76	66	56	42	35	13	6	11
28/09/2023	Unidade de Pronto Atendimento Akira Tada	Quinta-feira	7	14	23	44	69	69	82	60	70	52	80	65	74	72	68	67	86	74	62	45	52	18	15	18
29/09/2023	Unidade de Pronto Atendimento Akira Tada	Sexta-feira	9	12	14	37	71	76	63	52	58	84	72	90	83	95	78	70	57	70	39	24	40	43	20	16
