Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
14/08/2023	UPA - Pauliceia Taboão	Segunda-feira	NA	NA	NA	NA	5	24	12	13	18	2	1	9	6	19	16	18	9	0	10	9	0	NA	0	0
15/08/2023	UPA - Pauliceia Taboão	Terça-feira	1	4	NA	7	18	6	6	7	5	4	9	6	0	1	5	10	31	9	6	5	0	0	0	NA
16/08/2023	UPA - Pauliceia Taboão	Quarta-feira	NA	NA	15	19	19	16	16	8	38	9	8	0	13	1	6	11	9	6	0	0	0	NA	NA	NA
17/08/2023	UPA - Pauliceia Taboão	Quinta-feira	NA	NA	7	13	11	5	NA	NA	1	5	3	0	9	41	45	0	0	9	37	72	54	37	0	16
18/08/2023	UPA - Pauliceia Taboão	Sexta-feira	12	14	6	25	55	59	95	85	86	57	76	80	61	88	75	69	74	76	38	59	57	47	9	14
19/08/2023	UPA - Pauliceia Taboão	Sábado	19	34	23	42	69	63	61	77	65	83	91	95	100	100	96	66	94	69	54	36	37	22	0	1
20/08/2023	UPA - Pauliceia Taboão	Domingo	0	13	20	19	54	62	25	34	46	48	47	47	87	66	44	50	66	60	21	29	52	15	9	17
21/08/2023	UPA - Pauliceia Taboão	Segunda-feira	7	17	32	46	52	75	87	88	84	68	64	61	100	100	69	80	85	56	61	62	24	9	34	15
22/08/2023	UPA - Pauliceia Taboão	Terça-feira	11	14	18	36	53	94	88	100	71	54	81	100	0	83	59	82	69	76	46	51	25	15	12	9
23/08/2023	UPA - Pauliceia Taboão	Quarta-feira	2	5	20	51	100	100	92	92	76	77	79	94	97	62	78	50	55	46	9	16	17	16	19	22
24/08/2023	UPA - Pauliceia Taboão	Quinta-feira	0	8	20	20	45	70	79	64	21	59	86	100	84	76	71	51	83	71	56	41	14	24	10	21
25/08/2023	UPA - Pauliceia Taboão	Sexta-feira	3	12	15	21	46	68	68	69	96	100	100	100	97	66	93	61	100	71	79	51	14	2	0	3
26/08/2023	UPA - Pauliceia Taboão	Sábado	6	1	4	17	51	70	42	58	23	17	34	44	55	47	45	50	38	24	32	9	12	15	41	15
27/08/2023	UPA - Pauliceia Taboão	Domingo	28	3	2	26	42	12	51	50	59	54	44	32	23	46	40	44	42	39	26	23	13	38	9	16
28/08/2023	UPA - Pauliceia Taboão	Segunda-feira	16	19	29	30	31	55	56	72	50	54	47	41	51	52	48	38	54	65	56	43	8	10	0	9
29/08/2023	UPA - Pauliceia Taboão	Terça-feira	5	7	7	55	64	70	58	63	71	70	76	89	81	100	74	73	37	31	34	4	21	2	0	8
30/08/2023	UPA - Pauliceia Taboão	Quarta-feira	5	4	17	27	27	60	61	67	66	57	70	57	91	64	48	58	69	78	50	27	35	39	0	6
31/08/2023	UPA - Pauliceia Taboão	Quinta-feira	18	29	10	33	41	62	56	67	50	62	43	58	35	45	75	46	65	86	100	62	51	31	14	19
01/09/2023	UPA - Pauliceia Taboão	Sexta-feira	10	29	12	28	5	46	48	41	48	36	27	51	47	47	34	73	37	44	42	46	27	36	20	7
02/09/2023	UPA - Pauliceia Taboão	Sábado	1	16	14	36	38	56	48	41	37	19	36	65	72	74	38	51	43	48	17	39	17	22	5	0
03/09/2023	UPA - Pauliceia Taboão	Domingo	10	12	17	27	40	38	34	60	56	83	63	75	77	55	43	49	32	39	20	12	13	16	17	17
04/09/2023	UPA - Pauliceia Taboão	Segunda-feira	0	16	18	30	73	85	100	91	67	51	56	43	46	68	36	49	52	62	17	47	9	0	22	12
05/09/2023	UPA - Pauliceia Taboão	Terça-feira	14	4	7	22	80	83	70	52	39	28	42	29	34	34	33	36	42	58	42	30	0	0	12	18
06/09/2023	UPA - Pauliceia Taboão	Quarta-feira	0	7	11	21	56	59	58	74	39	72	95	60	59	30	33	34	44	52	18	16	3	3	0	0
07/09/2023	UPA - Pauliceia Taboão	Quinta-feira	6	12	25	18	24	29	36	31	31	43	48	28	42	27	47	56	68	38	20	9	7	0	0	0
08/09/2023	UPA - Pauliceia Taboão	Sexta-feira	NA	4	8	23	26	37	38	58	37	36	42	55	41	44	37	3	31	40	7	30	13	18	0	4
09/09/2023	UPA - Pauliceia Taboão	Sábado	2	25	19	34	44	27	45	53	32	21	57	40	40	36	34	25	36	22	18	7	2	0	2	0
10/09/2023	UPA - Pauliceia Taboão	Domingo	9	7	14	18	45	30	13	44	47	44	40	52	67	29	16	47	0	26	13	3	8	2	9	15
11/09/2023	UPA - Pauliceia Taboão	Segunda-feira	0	4	9	25	43	65	71	59	44	37	11	23	49	30	7	0	47	100	80	50	29	24	17	7
12/09/2023	UPA - Pauliceia Taboão	Terça-feira	4	4	22	34	74	80	55	72	62	64	77	52	41	30	50	38	59	71	47	24	21	4	5	7
13/09/2023	UPA - Pauliceia Taboão	Quarta-feira	0	NA	8	13	39	76	100	87	76	29	41	60	48	19	29	55	47	52	41	9	27	19	16	21
14/09/2023	UPA - Pauliceia Taboão	Quinta-feira	2	10	7	36	71	70	78	62	50	37	74	31	32	29	30	41	63	19	52	32	5	8	3	11
15/09/2023	UPA - Pauliceia Taboão	Sexta-feira	17	12	13	25	65	75	74	43	42	42	50	59	37	22	19	30	50	34	56	42	19	15	27	28
16/09/2023	UPA - Pauliceia Taboão	Sábado	27	14	18	24	50	81	65	31	45	44	48	65	48	38	30	49	43	31	17	4	0	0	0	3
17/09/2023	UPA - Pauliceia Taboão	Domingo	3	0	2	6	7	9	19	6	3	0	2	0	5	19	6	14	12	62	0	9	0	0	3	0
18/09/2023	UPA - Pauliceia Taboão	Segunda-feira	0	8	5	23	21	3	3	4	7	8	2	28	100	44	51	77	83	44	54	33	12	0	2	0
19/09/2023	UPA - Pauliceia Taboão	Terça-feira	1	7	18	34	52	91	94	80	42	47	31	50	37	61	56	96	96	90	85	46	27	4	9	17
20/09/2023	UPA - Pauliceia Taboão	Quarta-feira	17	6	15	49	52	78	3	60	57	75	38	67	81	78	54	32	66	69	40	32	10	28	21	11
21/09/2023	UPA - Pauliceia Taboão	Quinta-feira	0	3	15	27	57	20	86	75	79	100	82	71	45	76	69	86	100	93	40	6	26	39	14	9
22/09/2023	UPA - Pauliceia Taboão	Sexta-feira	14	7	6	24	22	99	60	80	85	88	54	97	64	60	41	35	63	34	46	34	24	18	2	5
23/09/2023	UPA - Pauliceia Taboão	Sábado	3	10	12	22	43	76	51	65	38	19	62	41	38	37	19	54	42	37	19	32	22	21	14	0
24/09/2023	UPA - Pauliceia Taboão	Domingo	0	0	2	25	19	40	47	60	46	51	0	24	32	25	16	23	45	48	45	33	12	8	20	10
25/09/2023	UPA - Pauliceia Taboão	Segunda-feira	9	3	16	25	39	63	86	52	58	73	83	46	73	57	48	75	88	79	54	35	35	30	7	14
26/09/2023	UPA - Pauliceia Taboão	Terça-feira	13	16	7	32	65	93	96	88	57	78	71	63	78	68	76	43	87	92	76	91	57	38	33	37
27/09/2023	UPA - Pauliceia Taboão	Quarta-feira	20	12	18	28	75	96	82	76	50	59	76	60	53	70	56	59	69	57	35	62	24	18	10	8
28/09/2023	UPA - Pauliceia Taboão	Quinta-feira	6	13	7	30	34	74	60	52	41	37	51	48	45	35	27	42	74	76	53	48	9	1	0	1
29/09/2023	UPA - Pauliceia Taboão	Sexta-feira	0	6	17	25	53	49	36	51	39	24	31	31	54	54	53	41	33	46	41	22	14	28	26	31
30/09/2023	UPA - Pauliceia Taboão	Sábado	1	11	18	6	30	56	51	50	44	49	52	49	56	50	34	40	50	40	40	25	8	20	31	17
