series	adf_statistic	p_value	stationary
detecta_percentage_mean	-2.7145586406267515	0.07155269255567265	False
sivep_cases_sc2_norm	-3.603715446024594	0.005690392386242356	True
infodengue_cases_denv_norm	-2.630222122255653	0.086910442736027	False
radim_posrate_sc2	-3.84900818769376	0.0024438707891551855	True
radim_posrate_denv	-1.0595474394493738	0.730931508912688	False
radim_posrate_vrisp	-3.5005518586009488	0.007972932469720587	True
sivep_vrisp_cases_norm	-3.0620167835787084	0.02949482403236443	True
