state	year	virus	epiweek_end	result_count
SAO PAULO	2023	vsr	2023-08-26	64
SAO PAULO	2023	vsr	2023-09-02	72
SAO PAULO	2023	vsr	2023-09-09	55
SAO PAULO	2023	vsr	2023-09-16	72
SAO PAULO	2023	vsr	2023-09-23	86
SAO PAULO	2023	vsr	2023-09-30	56
SAO PAULO	2023	vsr	2023-10-07	71
SAO PAULO	2023	vsr	2023-10-14	115
SAO PAULO	2023	vsr	2023-10-21	117
SAO PAULO	2023	vsr	2023-10-28	109
SAO PAULO	2023	vsr	2023-11-04	115
SAO PAULO	2023	vsr	2023-11-11	86
SAO PAULO	2023	vsr	2023-11-18	75
SAO PAULO	2023	vsr	2023-11-25	100
SAO PAULO	2023	vsr	2023-12-02	115
SAO PAULO	2023	vsr	2023-12-09	98
SAO PAULO	2023	vsr	2023-12-16	96
SAO PAULO	2023	vsr	2023-12-23	78
SAO PAULO	2023	vsr	2023-12-30	52
SAO PAULO	2023	vsr	2024-01-06	12
SAO PAULO	2024	covid	2024-01-06	110
SAO PAULO	2024	covid	2024-01-13	124
SAO PAULO	2024	covid	2024-01-20	160
SAO PAULO	2024	covid	2024-01-27	232
SAO PAULO	2024	covid	2024-02-03	362
SAO PAULO	2024	covid	2024-02-10	480
SAO PAULO	2024	covid	2024-02-17	594
SAO PAULO	2024	covid	2024-02-24	775
SAO PAULO	2024	covid	2024-03-02	632
SAO PAULO	2024	covid	2024-03-09	448
SAO PAULO	2024	covid	2024-03-16	362
SAO PAULO	2024	covid	2024-03-23	222
SAO PAULO	2024	covid	2024-03-30	166
SAO PAULO	2024	covid	2024-04-06	145
SAO PAULO	2024	covid	2024-04-13	127
SAO PAULO	2024	covid	2024-04-20	96
SAO PAULO	2024	covid	2024-04-27	63
SAO PAULO	2024	covid	2024-05-04	56
SAO PAULO	2024	covid	2024-05-11	43
SAO PAULO	2024	covid	2024-05-18	38
SAO PAULO	2024	covid	2024-05-25	49
SAO PAULO	2024	covid	2024-06-01	49
SAO PAULO	2024	covid	2024-06-08	56
SAO PAULO	2024	covid	2024-06-15	59
SAO PAULO	2024	covid	2024-06-22	82
SAO PAULO	2024	covid	2024-06-29	73
SAO PAULO	2024	covid	2024-07-06	79
SAO PAULO	2024	covid	2024-07-13	80
SAO PAULO	2024	covid	2024-07-20	118
SAO PAULO	2024	covid	2024-07-27	128
SAO PAULO	2024	covid	2024-08-03	137
SAO PAULO	2024	covid	2024-08-10	199
SAO PAULO	2024	covid	2024-08-17	342
SAO PAULO	2024	covid	2024-08-24	453
SAO PAULO	2024	covid	2024-08-31	435
SAO PAULO	2024	covid	2024-09-07	406
SAO PAULO	2024	covid	2024-09-14	326
SAO PAULO	2024	covid	2024-09-21	223
SAO PAULO	2024	covid	2024-09-28	186
SAO PAULO	2024	covid	2024-10-05	140
SAO PAULO	2024	covid	2024-10-12	136
SAO PAULO	2024	covid	2024-10-19	94
SAO PAULO	2024	covid	2024-10-26	71
SAO PAULO	2024	covid	2024-11-02	93
SAO PAULO	2024	covid	2024-11-09	70
SAO PAULO	2024	covid	2024-11-16	114
SAO PAULO	2024	covid	2024-11-23	105
SAO PAULO	2024	covid	2024-11-30	118
SAO PAULO	2024	covid	2024-12-07	124
SAO PAULO	2024	covid	2024-12-14	124
SAO PAULO	2024	covid	2024-12-21	155
SAO PAULO	2024	covid	2024-12-28	201
SAO PAULO	2024	covid	2025-01-04	64
SAO PAULO	2024	flua	2024-01-06	13
SAO PAULO	2024	flua	2024-01-13	14
SAO PAULO	2024	flua	2024-01-20	15
SAO PAULO	2024	flua	2024-01-27	19
SAO PAULO	2024	flua	2024-02-03	40
SAO PAULO	2024	flua	2024-02-10	45
SAO PAULO	2024	flua	2024-02-17	59
SAO PAULO	2024	flua	2024-02-24	93
SAO PAULO	2024	flua	2024-03-02	91
SAO PAULO	2024	flua	2024-03-09	103
SAO PAULO	2024	flua	2024-03-16	125
SAO PAULO	2024	flua	2024-03-23	141
SAO PAULO	2024	flua	2024-03-30	163
SAO PAULO	2024	flua	2024-04-06	243
SAO PAULO	2024	flua	2024-04-13	315
SAO PAULO	2024	flua	2024-04-20	331
SAO PAULO	2024	flua	2024-04-27	310
SAO PAULO	2024	flua	2024-05-04	285
SAO PAULO	2024	flua	2024-05-11	247
SAO PAULO	2024	flua	2024-05-18	250
SAO PAULO	2024	flua	2024-05-25	208
SAO PAULO	2024	flua	2024-06-01	218
SAO PAULO	2024	flua	2024-06-08	267
SAO PAULO	2024	flua	2024-06-15	265
SAO PAULO	2024	flua	2024-06-22	285
SAO PAULO	2024	flua	2024-06-29	244
SAO PAULO	2024	flua	2024-07-06	254
SAO PAULO	2024	flua	2024-07-13	175
SAO PAULO	2024	flua	2024-07-20	145
SAO PAULO	2024	flua	2024-07-27	113
SAO PAULO	2024	flua	2024-08-03	98
SAO PAULO	2024	flua	2024-08-10	58
SAO PAULO	2024	flua	2024-08-17	96
SAO PAULO	2024	flua	2024-08-24	111
SAO PAULO	2024	flua	2024-08-31	97
SAO PAULO	2024	flua	2024-09-07	91
SAO PAULO	2024	flua	2024-09-14	93
SAO PAULO	2024	flua	2024-09-21	98
SAO PAULO	2024	flua	2024-09-28	81
SAO PAULO	2024	flua	2024-10-05	78
SAO PAULO	2024	flua	2024-10-12	66
SAO PAULO	2024	flua	2024-10-19	55
SAO PAULO	2024	flua	2024-10-26	59
SAO PAULO	2024	flua	2024-11-02	44
SAO PAULO	2024	flua	2024-11-09	48
SAO PAULO	2024	flua	2024-11-16	45
SAO PAULO	2024	flua	2024-11-23	52
SAO PAULO	2024	flua	2024-11-30	46
SAO PAULO	2024	flua	2024-12-07	52
SAO PAULO	2024	flua	2024-12-14	51
SAO PAULO	2024	flua	2024-12-21	50
SAO PAULO	2024	flua	2024-12-28	38
SAO PAULO	2024	flua	2025-01-04	17
SAO PAULO	2024	flub	2024-01-06	3
SAO PAULO	2024	flub	2024-01-13	3
SAO PAULO	2024	flub	2024-01-20	2
SAO PAULO	2024	flub	2024-01-27	5
SAO PAULO	2024	flub	2024-02-03	1
SAO PAULO	2024	flub	2024-02-10	2
SAO PAULO	2024	flub	2024-02-17	2
SAO PAULO	2024	flub	2024-02-24	3
SAO PAULO	2024	flub	2024-03-02	2
SAO PAULO	2024	flub	2024-03-09	7
SAO PAULO	2024	flub	2024-03-16	6
SAO PAULO	2024	flub	2024-03-23	4
SAO PAULO	2024	flub	2024-03-30	6
SAO PAULO	2024	flub	2024-04-06	9
SAO PAULO	2024	flub	2024-04-13	10
SAO PAULO	2024	flub	2024-04-20	6
SAO PAULO	2024	flub	2024-04-27	10
SAO PAULO	2024	flub	2024-05-04	4
SAO PAULO	2024	flub	2024-05-11	7
SAO PAULO	2024	flub	2024-05-18	6
SAO PAULO	2024	flub	2024-05-25	6
SAO PAULO	2024	flub	2024-06-01	16
SAO PAULO	2024	flub	2024-06-08	9
SAO PAULO	2024	flub	2024-06-15	10
SAO PAULO	2024	flub	2024-06-22	13
SAO PAULO	2024	flub	2024-06-29	15
SAO PAULO	2024	flub	2024-07-06	20
SAO PAULO	2024	flub	2024-07-13	11
SAO PAULO	2024	flub	2024-07-20	12
SAO PAULO	2024	flub	2024-07-27	29
SAO PAULO	2024	flub	2024-08-03	22
SAO PAULO	2024	flub	2024-08-10	21
SAO PAULO	2024	flub	2024-08-17	47
SAO PAULO	2024	flub	2024-08-24	60
SAO PAULO	2024	flub	2024-08-31	63
SAO PAULO	2024	flub	2024-09-07	83
SAO PAULO	2024	flub	2024-09-14	121
SAO PAULO	2024	flub	2024-09-21	100
SAO PAULO	2024	flub	2024-09-28	128
SAO PAULO	2024	flub	2024-10-05	115
SAO PAULO	2024	flub	2024-10-12	126
SAO PAULO	2024	flub	2024-10-19	98
SAO PAULO	2024	flub	2024-10-26	84
SAO PAULO	2024	flub	2024-11-02	85
SAO PAULO	2024	flub	2024-11-09	60
SAO PAULO	2024	flub	2024-11-16	59
SAO PAULO	2024	flub	2024-11-23	49
SAO PAULO	2024	flub	2024-11-30	36
SAO PAULO	2024	flub	2024-12-07	38
SAO PAULO	2024	flub	2024-12-14	29
SAO PAULO	2024	flub	2024-12-21	17
SAO PAULO	2024	flub	2024-12-28	23
SAO PAULO	2024	flub	2025-01-04	7
SAO PAULO	2024	vsr	2024-01-06	42
SAO PAULO	2024	vsr	2024-01-13	19
SAO PAULO	2024	vsr	2024-01-20	31
SAO PAULO	2024	vsr	2024-01-27	36
SAO PAULO	2024	vsr	2024-02-03	46
SAO PAULO	2024	vsr	2024-02-10	45
SAO PAULO	2024	vsr	2024-02-17	78
SAO PAULO	2024	vsr	2024-02-24	110
SAO PAULO	2024	vsr	2024-03-02	182
SAO PAULO	2024	vsr	2024-03-09	240
SAO PAULO	2024	vsr	2024-03-16	327
SAO PAULO	2024	vsr	2024-03-23	362
SAO PAULO	2024	vsr	2024-03-30	449
SAO PAULO	2024	vsr	2024-04-06	544
SAO PAULO	2024	vsr	2024-04-13	533
SAO PAULO	2024	vsr	2024-04-20	577
SAO PAULO	2024	vsr	2024-04-27	489
SAO PAULO	2024	vsr	2024-05-04	465
SAO PAULO	2024	vsr	2024-05-11	376
SAO PAULO	2024	vsr	2024-05-18	330
SAO PAULO	2024	vsr	2024-05-25	292
SAO PAULO	2024	vsr	2024-06-01	220
SAO PAULO	2024	vsr	2024-06-08	247
SAO PAULO	2024	vsr	2024-06-15	220
SAO PAULO	2024	vsr	2024-06-22	210
SAO PAULO	2024	vsr	2024-06-29	154
SAO PAULO	2024	vsr	2024-07-06	124
SAO PAULO	2024	vsr	2024-07-13	116
SAO PAULO	2024	vsr	2024-07-20	105
SAO PAULO	2024	vsr	2024-07-27	99
SAO PAULO	2024	vsr	2024-08-03	68
SAO PAULO	2024	vsr	2024-08-10	52
SAO PAULO	2024	vsr	2024-08-17	54
SAO PAULO	2024	vsr	2024-08-24	43
SAO PAULO	2024	vsr	2024-08-31	42
SAO PAULO	2024	vsr	2024-09-07	38
SAO PAULO	2024	vsr	2024-09-14	34
SAO PAULO	2024	vsr	2024-09-21	25
SAO PAULO	2024	vsr	2024-09-28	32
SAO PAULO	2024	vsr	2024-10-05	30
SAO PAULO	2024	vsr	2024-10-12	26
SAO PAULO	2024	vsr	2024-10-19	26
SAO PAULO	2024	vsr	2024-10-26	30
SAO PAULO	2024	vsr	2024-11-02	37
SAO PAULO	2024	vsr	2024-11-09	42
SAO PAULO	2024	vsr	2024-11-16	37
SAO PAULO	2024	vsr	2024-11-23	45
SAO PAULO	2024	vsr	2024-11-30	64
SAO PAULO	2024	vsr	2024-12-07	64
SAO PAULO	2024	vsr	2024-12-14	76
SAO PAULO	2024	vsr	2024-12-21	74
SAO PAULO	2024	vsr	2024-12-28	61
SAO PAULO	2024	vsr	2025-01-04	21
