	UPA Vila Assis	UPA PEDREIRA - Dr. César Antunes da Rocha	Unidade de Pronto Atendimento - UPA Zaíra	AMA 24h Capão Redondo	UPA Rudge Ramos	UPA St. John - Lavras	UPA VICENTE MISSIANO	UPA Sacadura Cabral	UPA Vila Mariana	Unidade de Pronto Atendimento Akira Tada	UPA - Pauliceia Taboão	Unidade Avançada Carlos Chagas	AMA SOROCABANA -PRONTO ATENDIMENTO	UPA Paulista - Unidade de Pronto Atendimento	UPA Vergueiro	UPA Tito Lopes	UPA Vila Santa Catarina
2023-07-09	42.75	38.125	31.958333333333332	42.625	36.958333333333336	48.916666666666664	35.333333333333336	43.916666666666664	35.083333333333336	24.125	43.375	30.125	20.541666666666668	42.541666666666664	30.5	47.833333333333336	53.625
2023-07-10	50.130434782608695	51.833333333333336	46.541666666666664	56.25	58.791666666666664	59.041666666666664	44.833333333333336	57.375	59.083333333333336	41.333333333333336	39.708333333333336	59.041666666666664	40.166666666666664	57.666666666666664	51.458333333333336	59.5	67.29166666666667
2023-07-11	53.25	50.25	40.5	55.583333333333336	53.75	67.0	49.0	62.25	55.791666666666664	42.208333333333336	38.166666666666664	59.333333333333336	50.958333333333336	57.166666666666664	49.416666666666664	61.375	59.583333333333336
2023-07-12	50.75	51.583333333333336	43.958333333333336	52.625	49.0	56.125	31.208333333333332	53.458333333333336	57.208333333333336	44.333333333333336	45.916666666666664	59.25	40.791666666666664	63.791666666666664	52.25	53.75	59.208333333333336
2023-07-13	41.916666666666664	46.75	32.0	47.5	39.291666666666664	51.458333333333336	47.375	47.0	46.916666666666664	40.416666666666664	36.208333333333336	55.041666666666664	47.0	55.458333333333336	47.708333333333336	53.875	52.5
2023-07-14	39.958333333333336	46.833333333333336	40.333333333333336	43.25	37.291666666666664	49.791666666666664	37.666666666666664	47.041666666666664	38.666666666666664	32.625	33.833333333333336	50.916666666666664	39.541666666666664	47.291666666666664	43.916666666666664	37.333333333333336	53.0
2023-07-15	35.375	28.791666666666668	38.208333333333336	38.916666666666664	32.625	41.583333333333336	40.291666666666664	38.458333333333336	26.666666666666668	27.5	30.375	27.875	34.416666666666664	46.916666666666664	31.0	42.041666666666664	27.416666666666668
2023-07-16	48.916666666666664	18.541666666666668	32.958333333333336	30.666666666666668	29.125	34.75	29.857142857142858	40.208333333333336	26.458333333333332	32.5	35.791666666666664	23.083333333333332	19.75	38.25	27.208333333333332	40.208333333333336	32.0
2023-07-17	42.083333333333336	34.708333333333336	33.916666666666664	39.333333333333336	41.541666666666664	46.166666666666664	33.666666666666664	50.166666666666664	46.916666666666664	45.666666666666664	43.166666666666664	44.0	41.25	49.083333333333336	38.916666666666664	49.416666666666664	38.0
2023-07-18	42.0	29.708333333333332	33.333333333333336	41.0	41.041666666666664	40.166666666666664	32.375	46.69565217391305	46.208333333333336	40.958333333333336	42.375	36.75	39.375	45.833333333333336	40.958333333333336	46.375	38.958333333333336
2023-07-19	35.25	30.791666666666668	30.583333333333332	35.583333333333336	36.916666666666664	50.083333333333336	35.916666666666664	43.125	43.0	30.958333333333332	41.333333333333336	42.458333333333336	39.666666666666664	44.458333333333336	41.625	42.583333333333336	33.5
