	UPA Vila Assis	UPA PEDREIRA - Dr. César Antunes da Rocha	Unidade de Pronto Atendimento - UPA Zaíra	AMA 24h Capão Redondo	UPA Rudge Ramos	UPA St. John - Lavras	UPA VICENTE MISSIANO	UPA Sacadura Cabral	UPA Vila Mariana	Unidade de Pronto Atendimento Akira Tada	UPA - Pauliceia Taboão	Unidade Avançada Carlos Chagas	AMA SOROCABANA -PRONTO ATENDIMENTO	UPA Paulista - Unidade de Pronto Atendimento	UPA Vergueiro	UPA Tito Lopes	UPA Vila Santa Catarina
2023-07-15	44.87577639751553	44.88095238095239	39.07142857142857	48.107142857142854	43.95833333333333	53.41666666666667	40.81547619047619	49.92857142857143	45.63095238095239	36.077380952380956	38.226190476190474	48.797619047619044	39.05952380952381	52.976190476190474	43.75	50.81547619047619	53.232142857142854
2023-07-22	40.601190476190474	28.809523809523814	34.57142857142857	37.98809523809524	36.226190476190474	43.32142857142857	34.42006802721089	43.84937888198758	39.648809523809526	34.863095238095234	38.392857142857146	35.238095238095234	37.047619047619044	45.20833333333333	37.547619047619044	41.404761904761905	35.55952380952381
2023-07-29	43.69047619047619	36.023809523809526	37.05357142857143	43.80357142857143	39.095238095238095	45.904761904761905	38.69047619047619	40.00595238095239	40.839285714285715	37.779761904761905	41.25	44.232142857142854	38.827380952380956	47.976190476190474	43.23809523809524	40.13690476190476	41.341873706004144
2023-08-05	52.625	44.04166666666667	44.214285714285715	51.285714285714285	40.00595238095239	48.19642857142857	51.4083850931677	43.273809523809526	48.404761904761905	47.392857142857146	51.88690476190476	43.297619047619044	44.214285714285715	54.55357142857143	53.4345238095238	54.82142857142857	47.25
2023-08-12	48.345238095238095	59.457142857142856	44.68452380952381	56.68452380952381	45.672619047619044	52.964285714285715	53.55877093920572	41.18452380952381	51.86801242236025	51.80513784461153	47.56547619047619	44.74404761904761	48.976190476190474	56.91666666666667	60.095238095238095	57.797619047619044	62.07738095238095
2023-08-26	50.11309523809524	62.017857142857146	51.279761904761905	68.49171842650104	52.267857142857146	59.910714285714285	56.601190476190474	45.57142857142857	59.48809523809524	54.49404761904761	48.142857142857146	47.982142857142854	52.982142857142854	62.63690476190476	59.64699792960663	63.35119047619048	68.30357142857143
2023-09-02	49.232142857142854	59.672619047619044	47.845238095238095	66.68452380952381	42.29166666666667	60.45833333333333	55.232142857142854	44.0654761904762	56.89880952380952	46.94642857142857	39.94642857142857	39.785714285714285	53.375	61.922619047619044	51.922619047619044	61.15476190476191	63.613095238095234
2023-09-09	47.464285714285715	54.88095238095239	50.88095238095237	65.58928571428571	39.595238095238095	57.636904761904766	52.445393374741194	41.92857142857143	46.49223602484472	49.0	32.93737060041408	35.86904761904761	47.51190476190476	59.44047619047619	50.035714285714285	57.952380952380956	60.80357142857143
2023-09-16	49.702380952380956	59.92857142857143	53.71092132505176	66.79166666666667	44.773809523809526	60.345238095238095	58.392857142857146	47.732142857142854	56.910714285714285	55.214285714285715	35.128881987577635	41.23809523809524	51.99404761904763	63.464285714285715	50.67857142857143	58.660714285714285	66.48214285714286
2023-09-23	46.05952380952381	55.773809523809526	48.346790890269155	61.58333333333333	39.095238095238095	57.54166666666667	53.964285714285715	42.648809523809526	49.61038961038961	50.06547619047619	36.107142857142854	37.642857142857146	45.422619047619044	57.51309523809523	48.726190476190474	55.154761904761905	56.297619047619044
