	percentage_mean	moving_stds_mean	moving_average_mean	moving_zscore
2023-07-15	45.50704847156254	8.674516567599396	45.96573234366211	-0.11243166309793921
2023-07-22	37.92341284339823	8.730553684023446	42.88372253922273	-0.5622574647152274
2023-07-29	41.16997016197784	7.291697897297614	39.8929898046175	0.22001093153656642
2023-08-05	48.25336438923396	7.81682410643215	41.845269629590966	0.77592234370951
2023-08-12	52.02337631745022	9.249676365903154	48.220999860314414	0.410794082814211
2023-08-26	56.663621970527345	9.78059103328832	53.488792043757385	0.3167530160974623
2023-09-02	53.002801120448176	10.27815797028218	53.94202709479881	-0.09759989180129236
2023-09-09	50.02731092436975	8.92067567008124	52.88804761034849	-0.30528619621082326
2023-09-16	54.18525453659725	9.019991520548244	52.20084664300503	0.21514838683518667
2023-09-23	49.503153474828665	14.29490905990031	50.18804415046651	-0.0690118217773203
2023-09-30	51.22252161734259	14.551422323479956	51.54645882068242	-0.024440905785176246
2023-10-07	42.1886493727926	11.046382313150795	49.671678019033706	-0.6657710052912625
2023-10-14	37.28641456582633	8.77727729394323	42.55393461732519	-0.5866203289151354
2023-10-21	39.80736207526489	7.424600969179588	39.01914787654192	0.11547286956232619
2023-10-28	41.86353671903544	7.743717139468248	39.55290485759521	0.2826844687041028
2023-11-04	40.748355864084765	8.035158364136405	41.317142074220996	-0.06655883996694124
2023-11-11	41.452563634149314	7.8958871098904355	41.333248516798015	0.009832379211068372
2023-11-18	41.13926392691464	7.547526363522532	40.79562958441422	0.03986994874487413
2023-12-16	45.87445195469492	9.80481536188358	42.440323718420174	0.3411451206797365
2023-12-23	46.179159628278185	9.4441937171477	45.04242757097193	0.12069481104907409
2024-01-06	51.183086436155484	10.191682382841291	48.12889152696652	0.29845035645736
2024-01-13	44.68557422969188	9.492350667892024	48.594050816261	-0.4165805697274841
2024-01-20	49.02030812324931	7.9692079550123704	46.499428862454074	0.31425137592742186
2024-01-27	50.91841736694678	8.210517776701057	48.405687274909965	0.29681784577770143
2024-02-03	49.20633905736207	8.029026025737044	50.51030303425718	-0.16216546397020043
2024-02-10	51.2630269499104	8.707532166396046	50.281501575785605	0.1129923183844411
2024-02-17	47.1381350959356	9.782782137264292	48.47728379889505	-0.14156201471014565
2024-02-24	50.26245695906821	9.820381925904162	49.04512660513104	0.1247318620382073
2024-03-02	49.715823285836066	8.346282761241055	50.42630115287221	-0.07239817754175262
2024-03-09	48.978842406527825	8.4592234295476	49.463311312667365	-0.05982489879011573
2024-03-16	51.75013068468495	8.463358980847321	49.65362844460201	0.2413505969455698
2024-03-23	53.68173514465075	8.080542543970838	52.055090949423246	0.24196019948540107
2024-03-30	46.88669163317501	9.209529515118119	52.13498466862747	-0.5387398644950648
2024-04-06	50.14495798319327	9.33230124804334	48.984690417669036	0.12545010969728979
2024-04-13	49.80826026062599	7.920603963066948	48.55216147723912	0.14997686679722017
2024-04-20	49.41359152356595	7.581006343720389	50.322183221114535	-0.0843551681823659
2024-04-27	52.05427170868347	9.054587805956862	50.39416744958853	0.18001086015410225
2024-05-04	49.131211180124225	9.179710233860456	50.17296810028359	-0.11701427802343724
2024-05-11	50.55105125053974	7.973948620148181	50.52589346015086	0.002188653637873366
2024-05-18	47.1186974789916	7.69205401866582	49.20828133624992	-0.26505078465709714
2024-05-25	44.14705882352941	6.989017363809184	46.93413531420474	-0.37948142648004285
2024-06-01	35.215434395101916	7.891802956096329	42.335348170888906	-0.8858309453094179
2024-06-08	35.73536217127608	7.172746764723487	37.23135975470965	-0.19698951765416423
2024-06-15	37.598152897522645	6.700274277305681	35.96828612155416	0.24345880456220995
2024-06-22	40.64827670198515	6.997822970812414	37.834227074253384	0.3847235960284488
2024-06-29	39.818901473632934	6.375716952009968	39.88987544481372	-0.01181371806086343
2024-07-06	40.682645785586956	7.033586114483308	39.96116401105896	0.10175005042599615
2024-07-13	36.01136778822201	7.436450992740817	38.88944174507748	-0.3871653501940779
2024-07-20	35.059682964094726	6.898339586359836	37.22476342315582	-0.31970544891537944
2024-07-27	36.468784944807965	6.557417568619931	35.7116561051298	0.11264372308845261
2024-08-03	32.462679538218445	6.5881829869491595	34.78808597126033	-0.35214870000585236
2024-08-10	40.80547713156409	7.955533665704261	35.86186164188996	0.6047668457180765
2024-08-17	48.11242678889738	9.303842325984826	40.708994382620354	0.7716584746217893
2024-08-24	50.55604663254452	9.382712115889833	47.60102942375496	0.2844229118954695
2024-08-31	44.055337063849045	11.163765252606925	48.096926232542906	-0.3653009929101034
2024-09-07	45.886803733351044	10.516962164771703	45.62176226833195	0.035260396918854964
2024-09-14	46.100718548288874	7.693038748568817	46.30373364239027	-0.01961667623792138
2024-09-21	41.17837352332237	7.5698341586978595	44.534798405528214	-0.4326014062380058
2024-09-28	38.95773961758617	7.262352671403295	41.840013179184716	-0.3698885324148321
2024-10-05	41.00488456252066	8.725319917066763	40.0610169533652	0.10317667803111977
2024-10-12	42.469834087481146	8.900229938729565	39.98225028584455	0.28632798141738075
